Industry_NAICS6_MakeUse,X1111A0,X1111B0,X111200,X111300,X111400,X111900,X1121A0,X112120,X112A00,X112300,X113000,X114000,X115000,X211000,X212100,X2122A0,X212230,X212310,X2123A0,X213111,X21311A,X221100,X221200,X221300,X230301,X230302,X233210,X233230,X233240,X233262,X233293,X2332A0,X2332B0,X233411,X233412,X2334A0,X321100,X321200,X321910,X3219A0,X327100,X327200,X327310,X327320,X327330,X327390,X327400,X327910,X327991,X327992,X327993,X327999,X331110,X331200,X33131A,X331314,X33131B,X331411,X331419,X331420,X331490,X331510,X331520,X33211A,X332114,X33211B,X332200,X332310,X332320,X332410,X332420,X332430,X332500,X332600,X332710,X332720,X332800,X33291A,X332913,X332991,X33299A,X332996,X33299B,X333111,X333112,X333120,X333130,X33329A,X333220,X333295,X33331A,X333313,X333314,X333315,X33341A,X333414,X333415,X333511,X33351A,X333514,X33351B,X333611,X333612,X333613,X333618,X33391A,X333912,X333920,X333991,X33399A,X333993,X333994,X33399B,X334111,X334112,X33411A,X334210,X334220,X334290,X334300,X33441A,X334413,X334418,X334510,X334511,X334512,X334513,X334514,X334515,X334516,X334517,X33451A,X334610,X335110,X335120,X335210,X335221,X335222,X335224,X335228,X335311,X335312,X335313,X335314,X335911,X335912,X335920,X335930,X335991,X335999,X336111,X336112,X336120,X336211,X336212,X336213,X336214,X336310,X336320,X3363A0,X336350,X336360,X336370,X336390,X336411,X336412,X336413,X336414,X33641A,X336500,X336611,X336612,X336991,X336992,X336999,X337110,X337121,X337122,X33712A,X337127,X33721A,X337215,X337900,X339112,X339113,X339114,X339115,X339116,X339910,X339920,X339930,X339940,X339950,X339990,X311111,X311119,X311210,X311221,X31122A,X311225,X311230,X311300,X311410,X311420,X31151A,X311513,X311514,X311520,X31161A,X311615,X311700,X311810,X3118A0,X311910,X311920,X311930,X311940,X311990,X312110,X312120,X312130,X312140,X312200,X313100,X313200,X313300,X314110,X314120,X314900,X315000,X316000,X322110,X322120,X322130,X322210,X322220,X322230,X322291,X322299,X323110,X323120,X324110,X324121,X324122,X324190,X325110,X325120,X325130,X325180,X325190,X325211,X3252A0,X325310,X325320,X325411,X325412,X325413,X325414,X325510,X325520,X325610,X325620,X325910,X3259A0,X326110,X326120,X326130,X326140,X326150,X326160,X326190,X326210,X326220,X326290,X420000,X441000,X445000,X452000,X4A0000,X481000,X482000,X483000,X484000,X485000,X486000,X48A000,X492000,X493000,X511110,X511120,X511130,X5111A0,X511200,X512100,X512200,X515100,X515200,X517110,X517210,X517A00,X518200,X5191A0,X519130,X52A000,X522A00,X523A00,X523900,X524100,X524200,X525000,X531000,X532100,X532A00,X532400,X533000,X541100,X541511,X541512,X54151A,X541200,X541300,X541400,X541610,X5416A0,X541700,X541800,X5419A0,X541920,X541940,X550000,X561100,X561200,X561400,X561600,X561700,X561900,X561300,X561500,X562000,X611100,X611A00,X611B00,X621100,X621200,X621300,X621400,X621500,X621600,X621900,X622000,X623A00,X623B00,X624100,X624A00,X624400,X711100,X711200,X711A00,X711500,X712000,X713100,X713200,X713900,X721000,X722110,X722211,X722A00,X811100,X811200,X811300,X811400,X812100,X812200,X812300,X812900,X813100,X813A00,X813B00,X814000,S00500,S00600,X491000,S00700,S00201,S00202,S00203
331510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.15,0,0,0,0,0,0,0,0,601.18,60.12,24.05,0,54.11,0,24.05,18.04,120.24,36.07,0,174.34,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1208.37,270.53,0,0,0,0,0,0,0,288.57,156.31,907.78,42.08,138.27,444.87,450.89,2146.22,138.27,198.39,0,444.87,36.07,1009.98,2434.78,126.25,3023.94,180.35,228.45,246.48,204.4,468.92,925.82,180.35,3084.06,2134.19,1653.25,547.07,264.52,234.46,0,42.08,6.01,72.14,402.79,1502.95,342.67,583.15,601.18,426.84,2530.97,438.86,589.16,4977.78,2380.68,1460.87,1316.59,324.64,739.45,294.58,126.25,1202.36,0,0,6.01,0,12.02,30.06,6.01,6.01,0,12.02,36.07,78.15,6.01,84.17,228.45,24.05,24.05,18.04,30.06,0,0,78.15,60.12,114.22,12.02,186.37,42.08,36.07,120.24,78.15,60.12,6.01,18.04,0,234.46,6.01,6.01,60.12,120.24,0,138.27,24.05,0,30.06,6348.47,973.91,7280.3,10875.37,6.01,1094.15,1833.6,6.01,1448.85,745.46,0,30.06,3047.99,30.06,78.15,204.4,354.7,162.32,0,0,6.01,18.04,18.04,42.08,24.05,0,102.2,937.84,0,0,0,0,607.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.31,0,0,0,0,0,6504.78,0,0,0,0,937.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.44,0,60.12,186.37,486.96,174.34,1202.36,96.19,102.2,0,1009.98,54.11,2332.58,787.55,198.39,853.68,721.42,60.12,474.93,36.07,535.05,258.51,480.94,330.65,180.35,372.73,288.57,204.4,180.35,0,66.13,12.02,114.22,138.27,619.22,456.9,619.22,288.57,156.31,595.17,96.19,162.32,3817.5,1250.46,366.72,342.67,312.61,414.81,66.13,102.2,306.6,0,6.01,6.01,0,18.04,48.09,6.01,18.04,0,12.02,54.11,108.21,6.01,120.24,330.65,30.06,36.07,24.05,48.09,24.05,0,511,324.64,420.83,72.14,102.2,120.24,6.01,222.44,108.21,78.15,6.01,24.05,0,703.38,12.02,6.01,108.21,168.33,6.01,48.09,48.09,6.01,48.09,10087.82,1647.24,3649.17,11698.98,6.01,108.21,7797.32,48.09,264.52,168.33,0,78.15,120.24,216.43,60.12,306.6,48.09,222.44,0,0,6.01,18.04,36.07,54.11,36.07,0,84.17,132.26,102.2,0,6.01,12.02,991.95,0,0,78.15,354.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.13,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,12.02,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,24.05,0,0,0,0,0,66.13,0,0,0,0,6.01,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.52,0,0,0,0,0,0,0,0,0,0,0,0,36.07,12.02,18.04,42.08,6.01,6.01,0,72.14,36.07,0,0,0,0,0,0,0,0,0,84.17,0,0,0,0,60.12
33211A,0,0,0,0,0,0,0,0,0,0,0,0,36.07,0,0,108.21,0,0,0,0,0,0,0,0,84.17,30.06,36.07,0,12.02,84.17,0,60.12,132.26,108.21,18.04,264.52,0,0,0,48.09,0,0,0,0,0,0,6.01,0,0,0,18.04,24.05,0,0,0,0,0,0,0,0,0,0,114.22,4701.24,36.07,216.43,318.63,667.31,102.2,198.39,336.66,18.04,258.51,48.09,1190.34,2338.59,282.56,2134.19,246.48,2092.11,276.54,883.74,360.71,721.42,60.12,18.04,2338.59,745.46,138.27,18.04,42.08,42.08,12.02,48.09,78.15,84.17,168.33,222.44,144.28,84.17,102.2,4508.86,1136.23,817.61,2831.56,739.45,727.43,1971.87,138.27,270.53,66.13,60.12,553.09,18.04,0,1184.33,559.1,300.59,342.67,30.06,66.13,174.34,6.01,306.6,258.51,342.67,252.5,258.51,6.01,30.06,1412.78,102.2,0,0,342.67,6.01,12.02,12.02,36.07,228.45,66.13,186.37,511,66.13,60.12,12.02,0,126.25,0,18.04,30.06,72.14,12.02,18.04,12.02,6.01,42.08,3781.43,282.56,1003.97,396.78,895.76,78.15,697.37,450.89,2693.29,1358.67,246.48,126.25,1154.27,1508.96,210.41,12.02,54.11,114.22,0,18.04,6.01,30.06,24.05,66.13,78.15,6.01,12.02,180.35,6.01,0,6.01,30.06,6.01,12.02,12.02,12.02,258.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02,0,78.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04,0,0,0,0,0,0,0,0,0,96.19,174.34,6.01,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,649.28,0,0,6.01,42.08,0,0,0,0,6.01,0,0,6.01,6.01,0,6.01,0,0,198.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06,2308.54,559.1,0,0,150.3,12.02,0,0,0,0,0,0,0,0,0,54.11,0,0,0,18.04,312.61
332114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.5,6.01,72.14,6.01,72.14,240.47,12.02,228.45,48.09,36.07,24.05,30.06,0,0,0,30.06,0,0,0,0,150.3,414.81,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02,0,0,547.07,126.25,198.39,72.14,24.05,78.15,408.8,234.46,150.3,847.67,12.02,150.3,186.37,306.6,1262.48,438.86,12.02,108.21,162.32,78.15,84.17,114.22,12.02,174.34,1460.87,198.39,18.04,144.28,252.5,6.01,0,48.09,12.02,18.04,54.11,60.12,78.15,60.12,60.12,931.83,18.04,30.06,138.27,36.07,18.04,162.32,18.04,144.28,54.11,102.2,42.08,6.01,24.05,42.08,6.01,18.04,6.01,114.22,114.22,6.01,18.04,1701.34,126.25,0,0,0,0,0,174.34,0,24.05,0,66.13,0,138.27,258.51,12.02,30.06,24.05,48.09,517.02,198.39,12.02,48.09,180.35,30.06,42.08,54.11,120.24,276.54,42.08,72.14,42.08,66.13,174.34,330.65,60.12,2705.31,11807.2,228.45,300.59,348.69,48.09,6.01,108.21,0,6.01,492.97,42.08,36.07,36.07,12.02,24.05,0,6.01,6.01,24.05,18.04,48.09,54.11,6.01,378.74,1124.21,24.05,0,12.02,24.05,78.15,6.01,6.01,2681.27,282.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,42.08,0,270.53,6.01,0,0,0,42.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1496.94,0,0,0,0,0,0,0,0,0,0,0,0,150.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,30.06,66.13,36.07,0,0,0,0,0,0,0,96.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33211B,0,0,0,0,0,0,0,162.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,949.87,0,6.01,0,0,0,0,0,36.07,547.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04,0,30.06,18.04,913.8,72.14,1106.17,192.38,120.24,36.07,42.08,529.04,48.09,198.39,108.21,192.38,414.81,480.94,12.02,198.39,36.07,667.31,4328.5,967.9,474.93,571.12,252.5,12.02,78.15,30.06,12.02,30.06,144.28,6.01,84.17,1220.4,42.08,18.04,48.09,30.06,60.12,12.02,30.06,108.21,18.04,18.04,258.51,12.02,18.04,48.09,48.09,36.07,42.08,48.09,180.35,150.3,240.47,114.22,132.26,625.23,498.98,162.32,414.81,126.25,192.38,324.64,150.3,228.45,126.25,480.94,114.22,6.01,0,54.11,156.31,1647.24,1106.17,384.76,751.48,126.25,1460.87,198.39,222.44,54.11,937.84,0,625.23,0,649.28,96.19,210.41,30.06,42.08,24.05,120.24,456.9,186.37,60.12,402.79,601.18,9264.2,384.76,1587.12,54.11,6.01,114.22,6.01,12.02,54.11,12.02,24.05,36.07,12.02,24.05,18.04,246.48,36.07,84.17,78.15,775.52,408.8,6.01,30.06,54.11,24.05,0,18.04,24.05,24.05,6.01,12.02,48.09,204.4,6.01,0,0,0,6.01,0,0,6.01,6.01,12.02,0,6.01,6.01,0,0,6.01,0,6.01,6.01,6.01,0,0,6.01,6.01,0,0,0,0,0,0,0,0,0,0,0,60.12,0,0,2657.22,0,661.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685.35,0,0,0,6.01,270.53,60.12,6.01,955.88,0,0,1076.11,0,30.06,0,0,0,0,0,0,18.04,42.08,0,1142.24,661.3,12.02,0,0,72.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088.14,769.51,168.33,18.04,1863.66,0,0,0,0,0,0,0,0,0,0,0,0,174.34,0,0,0,0,0,0,0,0,0,0,66.13,0,0,0,0,6.01,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070.1,0,12.02,60.12,114.22,60.12,0,0,0,0,0,0,0,144.28,0,156.31,0,0,0,336.66,126.25,168.33,0,0,0,0,0,0,0,0,1737.41,559.1,0,0,18.04,6.01,504.99
332200,228.45,931.83,150.3,120.24,162.32,234.46,619.22,877.72,114.22,228.45,0,24.05,12.02,829.63,96.19,144.28,0,0,0,0,0,18.04,0,0,72.14,210.41,54.11,6.01,102.2,60.12,6.01,60.12,90.18,2146.22,36.07,1539.02,30.06,6.01,24.05,30.06,6.01,24.05,6.01,36.07,6.01,24.05,0,0,529.04,6.01,6.01,0,108.21,18.04,6.01,24.05,18.04,0,0,24.05,54.11,60.12,42.08,30.06,18.04,72.14,156.31,517.02,84.17,102.2,36.07,60.12,60.12,42.08,258.51,54.11,186.37,216.43,36.07,6.01,162.32,72.14,84.17,42.08,24.05,60.12,282.56,126.25,12.02,72.14,60.12,0,12.02,0,6.01,18.04,42.08,30.06,18.04,36.07,24.05,48.09,12.02,18.04,24.05,18.04,18.04,138.27,12.02,18.04,132.26,42.08,30.06,18.04,6.01,6.01,6.01,30.06,6.01,18.04,30.06,60.12,18.04,96.19,60.12,6.01,102.2,30.06,18.04,102.2,66.13,78.15,6.01,6.01,6.01,6.01,36.07,6.01,18.04,12.02,24.05,42.08,114.22,90.18,18.04,24.05,12.02,36.07,0,24.05,108.21,246.48,42.08,48.09,30.06,6.01,30.06,120.24,30.06,288.57,396.78,216.43,288.57,240.47,42.08,6.01,96.19,0,6.01,180.35,24.05,30.06,36.07,12.02,24.05,6.01,6.01,6.01,24.05,12.02,48.09,60.12,6.01,42.08,78.15,24.05,12.02,18.04,18.04,18.04,6.01,6.01,48.09,174.34,0,0,0,0,0,0,0,12.02,0,12.02,0,0,0,0,96.19,294.58,0,36.07,12.02,6.01,0,0,6.01,0,18.04,6.01,18.04,0,0,0,0,0,6.01,6.01,6.01,0,0,0,282.56,54.11,48.09,18.04,6.01,6.01,6.01,24.05,0,0,0,0,0,6.01,0,0,12.02,12.02,24.05,12.02,0,0,0,0,0,0,0,0,6.01,12.02,0,24.05,42.08,18.04,6.01,12.02,12.02,18.04,565.11,36.07,6.01,258.51,1154.27,36.07,204.4,36.07,102.2,24.05,372.73,0,3450.78,24.05,324.64,114.22,0,72.14,6.01,378.74,6.01,180.35,6.01,0,0,0,0,18.04,18.04,0,0,0,42.08,6.01,6.01,6.01,0,0,12.02,0,42.08,246.48,0,78.15,0,0,0,0,0,0,12.02,0,18.04,6.01,162.32,48.09,6.01,0,0,72.14,6.01,0,72.14,30.06,300.59,48.09,0,0,6.01,66.13,721.42,108.21,0,0,0,0,0,0,0,414.81,12.02,0,0,1022.01,36.07,0,0,0,0,0,6.01,24.05,1238.43,276.54,492.97,529.04,90.18,264.52,48.09,300.59,384.76,877.72,0,0,24.05,66.13,0,18.04,0,7292.33,733.44,0,0,60.12,0,66.13
332310,78.15,174.34,24.05,18.04,30.06,36.07,108.21,162.32,18.04,42.08,0,0,0,2543,0,12.02,174.34,0,0,114.22,60.12,6.01,0,0,6083.95,1208.37,5566.94,1232.42,7334.41,6961.68,16243.91,21486.21,11867.31,5488.78,2314.55,12222.01,0,1100.16,0,402.79,0,0,0,0,60.12,853.68,0,0,0,0,0,0,0,414.81,0,0,0,0,0,0,0,0,0,48.09,156.31,3035.96,36.07,8993.67,180.35,378.74,162.32,78.15,90.18,54.11,8554.81,108.21,252.5,312.61,54.11,12.02,216.43,108.21,96.19,60.12,18.04,3072.04,228.45,1713.37,108.21,252.5,72.14,6.01,0,0,264.52,24.05,462.91,48.09,18.04,54.11,42.08,402.79,12.02,30.06,889.75,1214.39,1046.06,1617.18,18.04,102.2,60.12,60.12,48.09,54.11,60.12,132.26,6.01,54.11,48.09,18.04,96.19,2044.02,12.02,120.24,72.14,0,0,0,0,0,72.14,0,6.01,0,90.18,6.01,54.11,54.11,54.11,48.09,162.32,72.14,228.45,234.46,114.22,78.15,0,426.84,0,60.12,144.28,324.64,60.12,78.15,36.07,6.01,36.07,5723.24,72.14,547.07,1713.37,150.3,408.8,511,511,6.01,4821.47,396.78,12.02,4460.76,901.77,595.17,54.11,12.02,36.07,0,12.02,6.01,30.06,24.05,66.13,78.15,6.01,0,0,36.07,0,6.01,24.05,270.53,12.02,12.02,30.06,234.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02,0,0,0,0,0,0,691.36,54.11,0,372.73,2410.74,0,0,0,156.31,6.01,48.09,6516.8,0,0,2398.71,0,0,0,0,0,0,0,0,0,0,0,0,192.38,330.65,18.04,655.29,0,0,0,0,0,0,0,0,0,84.17,2044.02,0,354.7,0,216.43,0,306.6,0,48.09,3017.93,0,42.08,0,378.74,0,547.07,0,0,24.05,72.14,2368.65,138.27,0,120.24,0,84.17,0,1436.82,0,60.12,0,0,0,0,0,0,0,144.28,174.34,0,0,138.27,186.37,216.43,6.01,0,0,0,0,0,0,270.53,18.04,4917.66,2188.3,529.04,0,0,0,0,0,0,0,0,0,0,30.06,0,498.98,745.46,0,0,0,6.01,7887.5
332320,0,0,0,0,0,0,0,0,0,0,0,468.92,0,0,0,0,78.15,0,0,48.09,571.12,12.02,6.01,0,9210.09,2645.2,5536.88,2140.2,3565,12023.62,2452.82,14175.85,6564.9,17500.38,3589.05,16346.11,0,126.25,1178.31,925.82,0,18.04,0,0,60.12,222.44,0,0,0,0,0,18.04,48.09,0,0,66.13,0,0,0,12.02,102.2,0,0,0,150.3,84.17,0,462.91,6426.63,48.09,18.04,679.33,0,42.08,883.74,150.3,0,12.02,0,0,0,12.02,126.25,72.14,6.01,3565,0,517.02,0,12.02,1833.6,102.2,186.37,0,132.26,12.02,18.04,0,0,18.04,6.01,0,12.02,6.01,889.75,0,18.04,144.28,0,180.35,0,6.01,0,1088.14,84.17,667.31,126.25,282.56,252.5,0,390.77,1172.3,456.9,396.78,1070.1,84.17,174.34,48.09,114.22,607.19,0,342.67,0,0,18.04,6.01,18.04,12.02,6.01,60.12,0,120.24,883.74,679.33,0,0,0,36.07,0,324.64,937.84,108.21,174.34,907.78,36.07,390.77,1124.21,138.27,6.01,36.07,258.51,589.16,492.97,2074.07,6.01,0,0,0,0,12.02,6.01,0,0,204.4,6.01,0,0,0,6.01,84.17,36.07,204.4,0,168.33,450.89,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.05,0,0,336.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5176.17,0,0,0,234.46,90.18,0,0,360.71,6.01,18.04,0,0,0,0,0,0,0,0,216.43,0,0,0,0,0,0,0,1058.08,1851.64,78.15,5717.23,0,24.05,0,0,0,0,0,0,0,54.11,0,0,511,0,0,0,883.74,0,0,2885.67,0,0,0,312.61,0,0,0,0,6.01,0,0,0,0,2044.02,0,0,0,4328.5,0,192.38,0,0,0,78.15,0,0,0,150.3,258.51,0,0,216.43,312.61,613.2,24.05,0,0,0,0,0,0,492.97,72.14,7274.29,5482.77,1046.06,0,24.05,0,0,0,0,0,0,0,0,36.07,0,631.24,264.52,0,0,0,102.2,3474.83
332410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.11,0,0,258.51,84.17,150.3,414.81,210.41,1478.91,0,1454.86,306.6,294.58,132.26,901.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851.64,102.2,0,0,0,330.65,0,0,0,0,0,0,0,12.02,0,0,0,0,1364.68,114.22,144.28,0,0,0,0,0,60.12,192.38,0,0,0,0,72.14,0,0,150.3,0,0,0,0,36.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,48.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.3,0,0,0,0,0,0,0,0,0,0,0,48.09,6.01,0,30.06,30.06,384.76,0,0,0,48.09,0,54.11,0,12.02,450.89,102.2,300.59,547.07,72.14,132.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.14,126.25,6.01,0,0,0,0,0,0,0,0,0,0,24.05,0,0,0,0,0,0,6.01,0,0,60.12,0,0,0,42.08,0,0,0,0,6.01,0,0,0,0,0,0,0,0,841.65,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,24.05,1148.26,378.74,0,0,0,0,0,0,0,0,0,0,0,0,0,408.8,0,0,0,0,529.04
332420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.17,264.52,228.45,96.19,60.12,961.89,0,619.22,5085.99,991.95,132.26,1539.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.3,2266.45,0,0,0,270.53,0,0,0,0,0,0,0,12.02,0,0,0,0,1316.59,102.2,138.27,0,0,0,0,0,0,0,0,0,0,0,72.14,0,0,138.27,0,0,0,0,36.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02,0,0,84.17,0,0,12.02,36.07,426.84,0,0,0,102.2,0,66.13,6.01,0,619.22,108.21,324.64,162.32,48.09,114.22,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,54.11,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567.04,0,0,0,0,120.24
332430,0,0,0,0,0,0,0,12.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,6.01,0,6.01,6.01,0,6.01,6.01,12.02,48.09,18.04,0,0,0,42.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.08,18.04,90.18,30.06,985.94,42.08,264.52,90.18,9131.94,90.18,54.11,132.26,138.27,246.48,306.6,48.09,12.02,216.43,102.2,96.19,60.12,18.04,2194.31,222.44,294.58,48.09,174.34,66.13,6.01,0,0,222.44,6.01,66.13,42.08,24.05,54.11,36.07,354.7,12.02,30.06,553.09,1040.04,859.69,1226.41,18.04,48.09,60.12,48.09,48.09,6.01,30.06,54.11,18.04,144.28,42.08,18.04,276.54,30.06,30.06,156.31,48.09,6.01,0,6.01,0,6.01,84.17,6.01,6.01,0,90.18,6.01,66.13,18.04,12.02,18.04,30.06,66.13,150.3,120.24,18.04,24.05,0,54.11,0,114.22,162.32,366.72,60.12,78.15,30.06,6.01,30.06,24.05,72.14,535.05,781.54,306.6,396.78,450.89,60.12,6.01,120.24,0,6.01,72.14,18.04,30.06,54.11,12.02,36.07,6.01,12.02,6.01,30.06,24.05,60.12,66.13,6.01,0,60.12,36.07,0,12.02,24.05,24.05,12.02,12.02,54.11,222.44,11416.43,30.06,0,0,6.01,138.27,0,324.64,216.43,21558.35,883.74,270.53,1683.31,6.01,54.11,282.56,228.45,0,6.01,667.31,1280.52,54.11,733.44,462.91,3234.35,17981.33,0,0,2518.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.07,6.01,12.02,240.47,6.01,30.06,30.06,114.22,1154.27,0,0,0,312.61,12.02,222.44,30.06,12.02,1647.24,306.6,853.68,84.17,144.28,300.59,0,0,0,0,0,0,78.15,54.11,0,360.71,252.5,78.15,6.01,0,24.05,0,0,0,6.01,0,0,12.02,60.12,12.02,0,0,0,0,0,0,0,0,0,0,0,0,66.13,0,0,0,0,0,0,0,18.04,0,0,0,0,6.01,6.01,0,0,0,0,0,0,0,6.01,0,0,6.01,6.01,0,0,0,0,0,0,0,6.01,6.01,0,0,54.11,0,0,0,0,0,0,0,6.01,0,18.04,0,0,0,0,12.02,0,0,0,0,0,0,0,0,6.01,0,6.01,42.08,0,0,0,6.01,6.01,6.01,12.02,0,0,0,0,0,0,222.44,0,0,0,0,0,0
