MESOZONE,NAICS,orig_emp,COUNTY,adj_emp,abs_diff
250010101001,rank11,0.0,25001.0,0.0,0.0
250010101002,rank11,3.0,25001.0,32.0,29.0
250010101003,rank11,1.0,25001.0,6.0,5.0
250010101004,rank11,2.0,25001.0,2.0,0.0
250010101005,rank11,3.0,25001.0,10.0,7.0
250010102061,rank11,0.0,25001.0,0.0,0.0
250010102062,rank11,0.0,25001.0,0.0,0.0
250010102063,rank11,5.0,25001.0,26.0,21.0
250010102081,rank11,5.0,25001.0,6.0,1.0
250010102082,rank11,1.0,25001.0,9.0,8.0
250010102083,rank11,0.0,25001.0,0.0,0.0
250010103041,rank11,0.0,25001.0,0.0,0.0
250010103042,rank11,0.0,25001.0,0.0,0.0
250010103043,rank11,0.0,25001.0,1.0,1.0
250010103061,rank11,0.0,25001.0,0.0,0.0
250010103062,rank11,0.0,25001.0,0.0,0.0
250010103063,rank11,0.0,25001.0,0.0,0.0
250010104001,rank11,2.0,25001.0,15.0,13.0
250010104002,rank11,0.0,25001.0,0.0,0.0
250010104003,rank11,0.0,25001.0,0.0,0.0
250010104004,rank11,1.0,25001.0,135.0,134.0
250010105001,rank11,0.0,25001.0,0.0,0.0
250010105002,rank11,0.0,25001.0,0.0,0.0
250010105003,rank11,0.0,25001.0,0.0,0.0
250010106001,rank11,0.0,25001.0,0.0,0.0
250010106002,rank11,0.0,25001.0,2.0,2.0
250010106003,rank11,2.0,25001.0,7.0,5.0
250010106004,rank11,0.0,25001.0,0.0,0.0
250010107001,rank11,1.0,25001.0,1.0,0.0
250010107002,rank11,10.0,25001.0,33.0,23.0
250010107003,rank11,1.0,25001.0,10.0,9.0
250010107004,rank11,0.0,25001.0,0.0,0.0
250010108001,rank11,0.0,25001.0,2.0,2.0
250010108002,rank11,0.0,25001.0,0.0,0.0
250010108003,rank11,4.0,25001.0,6.0,2.0
250010108004,rank11,0.0,25001.0,7.0,7.0
250010108005,rank11,0.0,25001.0,0.0,0.0
250010109001,rank11,0.0,25001.0,0.0,0.0
250010109002,rank11,0.0,25001.0,0.0,0.0
250010109003,rank11,0.0,25001.0,0.0,0.0
250010109004,rank11,0.0,25001.0,1.0,1.0
250010110021,rank11,0.0,25001.0,0.0,0.0
250010110022,rank11,17.0,25001.0,42.0,25.0
250010110023,rank11,0.0,25001.0,0.0,0.0
250010110024,rank11,2.0,25001.0,3.0,1.0
250010111001,rank11,0.0,25001.0,0.0,0.0
250010111002,rank11,0.0,25001.0,0.0,0.0
250010111003,rank11,3.0,25001.0,13.0,10.0
250010111004,rank11,0.0,25001.0,0.0,0.0
250010112001,rank11,0.0,25001.0,0.0,0.0
250010112002,rank11,0.0,25001.0,0.0,0.0
250010112003,rank11,0.0,25001.0,0.0,0.0
250010112004,rank11,0.0,25001.0,0.0,0.0
250010113001,rank11,21.0,25001.0,35.0,14.0
250010113002,rank11,0.0,25001.0,0.0,0.0
250010113003,rank11,0.0,25001.0,0.0,0.0
250010114001,rank11,0.0,25001.0,0.0,0.0
250010114002,rank11,0.0,25001.0,0.0,0.0
250010114003,rank11,0.0,25001.0,0.0,0.0
250010114004,rank11,0.0,25001.0,0.0,0.0
250010115001,rank11,0.0,25001.0,0.0,0.0
250010115002,rank11,2.0,25001.0,18.0,16.0
250010115003,rank11,0.0,25001.0,0.0,0.0
250010115004,rank11,3.0,25001.0,2.0,-1.0
250010115005,rank11,0.0,25001.0,0.0,0.0
250010116001,rank11,6.0,25001.0,11.0,5.0
250010116002,rank11,0.0,25001.0,1.0,1.0
250010116003,rank11,0.0,25001.0,0.0,0.0
250010117001,rank11,0.0,25001.0,0.0,0.0
250010117002,rank11,0.0,25001.0,0.0,0.0
250010117003,rank11,1.0,25001.0,12.0,11.0
250010118011,rank11,0.0,25001.0,0.0,0.0
250010118012,rank11,0.0,25001.0,0.0,0.0
250010118021,rank11,0.0,25001.0,0.0,0.0
250010118022,rank11,0.0,25001.0,0.0,0.0
250010118023,rank11,0.0,25001.0,0.0,0.0
250010118024,rank11,0.0,25001.0,3.0,3.0
250010120011,rank11,0.0,25001.0,0.0,0.0
250010120012,rank11,0.0,25001.0,0.0,0.0
250010120013,rank11,0.0,25001.0,0.0,0.0
250010120014,rank11,0.0,25001.0,0.0,0.0
250010120021,rank11,0.0,25001.0,0.0,0.0
250010120022,rank11,0.0,25001.0,0.0,0.0
250010120023,rank11,0.0,25001.0,0.0,0.0
250010121011,rank11,0.0,25001.0,0.0,0.0
250010121012,rank11,0.0,25001.0,0.0,0.0
250010121013,rank11,0.0,25001.0,1.0,1.0
250010121014,rank11,0.0,25001.0,1.0,1.0
250010121015,rank11,0.0,25001.0,1.0,1.0
250010121021,rank11,0.0,25001.0,0.0,0.0
250010121022,rank11,0.0,25001.0,0.0,0.0
250010121023,rank11,0.0,25001.0,1.0,1.0
250010121024,rank11,0.0,25001.0,0.0,0.0
250010122001,rank11,7.0,25001.0,4.0,-3.0
250010122002,rank11,0.0,25001.0,0.0,0.0
250010122003,rank11,4.0,25001.0,1.0,-3.0
250010122004,rank11,0.0,25001.0,0.0,0.0
250010125021,rank11,0.0,25001.0,0.0,0.0
250010125022,rank11,0.0,25001.0,1.0,1.0
250010125023,rank11,0.0,25001.0,0.0,0.0
250010125024,rank11,0.0,25001.0,0.0,0.0
250010126011,rank11,0.0,25001.0,0.0,0.0
250010126012,rank11,0.0,25001.0,0.0,0.0
250010126021,rank11,0.0,25001.0,0.0,0.0
250010126022,rank11,0.0,25001.0,0.0,0.0
250010126023,rank11,0.0,25001.0,0.0,0.0
250010126024,rank11,0.0,25001.0,0.0,0.0
250010127001,rank11,0.0,25001.0,0.0,0.0
250010127002,rank11,0.0,25001.0,0.0,0.0
250010127003,rank11,0.0,25001.0,0.0,0.0
250010127004,rank11,0.0,25001.0,0.0,0.0
250010128001,rank11,0.0,25001.0,0.0,0.0
250010128002,rank11,0.0,25001.0,0.0,0.0
250010128003,rank11,2.0,25001.0,0.0,-2.0
250010129001,rank11,0.0,25001.0,0.0,0.0
250010129002,rank11,0.0,25001.0,0.0,0.0
250010129003,rank11,0.0,25001.0,0.0,0.0
250010130021,rank11,0.0,25001.0,0.0,0.0
250010130022,rank11,2.0,25001.0,2.0,0.0
250010130023,rank11,0.0,25001.0,0.0,0.0
250010130024,rank11,0.0,25001.0,0.0,0.0
250010131001,rank11,0.0,25001.0,0.0,0.0
250010131002,rank11,16.0,25001.0,9.0,-7.0
250010131003,rank11,1.0,25001.0,0.0,-1.0
250010131004,rank11,2.0,25001.0,3.0,1.0
250010132001,rank11,12.0,25001.0,9.0,-3.0
250010132002,rank11,0.0,25001.0,0.0,0.0
250010132003,rank11,6.0,25001.0,4.0,-2.0
250010133001,rank11,0.0,25001.0,0.0,0.0
250010133002,rank11,12.0,25001.0,4.0,-8.0
250010133003,rank11,0.0,25001.0,0.0,0.0
250010134001,rank11,0.0,25001.0,0.0,0.0
250010134002,rank11,3.0,25001.0,1.0,-2.0
250010134003,rank11,0.0,25001.0,1.0,1.0
250010134004,rank11,0.0,25001.0,0.0,0.0
250010135001,rank11,0.0,25001.0,0.0,0.0
250010135002,rank11,0.0,25001.0,0.0,0.0
250010135003,rank11,0.0,25001.0,0.0,0.0
250010135004,rank11,0.0,25001.0,0.0,0.0
250010136001,rank11,0.0,25001.0,0.0,0.0
250010136002,rank11,0.0,25001.0,0.0,0.0
250010136003,rank11,0.0,25001.0,0.0,0.0
250010137001,rank11,25.0,25001.0,52.0,27.0
250010137002,rank11,0.0,25001.0,1.0,1.0
250010137003,rank11,0.0,25001.0,3.0,3.0
250010137004,rank11,0.0,25001.0,0.0,0.0
250010138001,rank11,0.0,25001.0,0.0,0.0
250010138002,rank11,0.0,25001.0,0.0,0.0
250010138003,rank11,0.0,25001.0,0.0,0.0
250010139001,rank11,0.0,25001.0,0.0,0.0
250010139002,rank11,1.0,25001.0,31.0,30.0
250010139003,rank11,0.0,25001.0,0.0,0.0
250010139004,rank11,0.0,25001.0,0.0,0.0
250010140021,rank11,0.0,25001.0,0.0,0.0
250010140022,rank11,5.0,25001.0,4.0,-1.0
250010140023,rank11,0.0,25001.0,0.0,0.0
250010140024,rank11,3.0,25001.0,8.0,5.0
250010141001,rank11,0.0,25001.0,0.0,0.0
250010143001,rank11,0.0,25001.0,0.0,0.0
250010143002,rank11,0.0,25001.0,0.0,0.0
250010143003,rank11,0.0,25001.0,0.0,0.0
250010143004,rank11,0.0,25001.0,1.0,1.0
250010143005,rank11,0.0,25001.0,2.0,2.0
250010144021,rank11,0.0,25001.0,0.0,0.0
250010144022,rank11,27.0,25001.0,31.0,4.0
250010144023,rank11,0.0,25001.0,0.0,0.0
250010145001,rank11,0.0,25001.0,0.0,0.0
250010145002,rank11,0.0,25001.0,0.0,0.0
250010145003,rank11,0.0,25001.0,1.0,1.0
250010146001,rank11,0.0,25001.0,0.0,0.0
250010146002,rank11,0.0,25001.0,0.0,0.0
250010146003,rank11,0.0,25001.0,0.0,0.0
250010146004,rank11,0.0,25001.0,0.0,0.0
250010147001,rank11,0.0,25001.0,0.0,0.0
250010147002,rank11,0.0,25001.0,0.0,0.0
250010147003,rank11,0.0,25001.0,0.0,0.0
250010148001,rank11,0.0,25001.0,0.0,0.0
250010148002,rank11,0.0,25001.0,0.0,0.0
250010148003,rank11,0.0,25001.0,0.0,0.0
250010148004,rank11,0.0,25001.0,0.0,0.0
250010149001,rank11,0.0,25001.0,0.0,0.0
250010149002,rank11,0.0,25001.0,0.0,0.0
250010149003,rank11,0.0,25001.0,0.0,0.0
250010149004,rank11,0.0,25001.0,0.0,0.0
250010150011,rank11,0.0,25001.0,0.0,0.0
250010150012,rank11,0.0,25001.0,0.0,0.0
250010150021,rank11,0.0,25001.0,0.0,0.0
250010150022,rank11,0.0,25001.0,0.0,0.0
250010151001,rank11,0.0,25001.0,0.0,0.0
250010151002,rank11,0.0,25001.0,0.0,0.0
250010152001,rank11,0.0,25001.0,0.0,0.0
250010152002,rank11,0.0,25001.0,0.0,0.0
250010153001,rank11,12.0,25001.0,11.0,-1.0
250010153002,rank11,0.0,25001.0,0.0,0.0
250010153003,rank11,0.0,25001.0,0.0,0.0
250056001001,rank11,0.0,25005.0,0.0,0.0
250056001002,rank11,0.0,25005.0,0.0,0.0
250056002021,rank11,2.0,25005.0,1.0,-1.0
250056002022,rank11,0.0,25005.0,0.0,0.0
250056002023,rank11,0.0,25005.0,0.0,0.0
250056002031,rank11,0.0,25005.0,0.0,0.0
250056002032,rank11,0.0,25005.0,0.0,0.0
250056002033,rank11,0.0,25005.0,0.0,0.0
250056002041,rank11,0.0,25005.0,0.0,0.0
250056002042,rank11,0.0,25005.0,0.0,0.0
250056101001,rank11,0.0,25005.0,0.0,0.0
250056101002,rank11,0.0,25005.0,0.0,0.0
250056101003,rank11,0.0,25005.0,0.0,0.0
250056102021,rank11,0.0,25005.0,0.0,0.0
250056102022,rank11,0.0,25005.0,0.0,0.0
250056102023,rank11,0.0,25005.0,0.0,0.0
250056102024,rank11,0.0,25005.0,0.0,0.0
250056102031,rank11,0.0,25005.0,0.0,0.0
250056102032,rank11,0.0,25005.0,0.0,0.0
250056102033,rank11,0.0,25005.0,0.0,0.0
250056102034,rank11,0.0,25005.0,0.0,0.0
250056102041,rank11,0.0,25005.0,0.0,0.0
250056102042,rank11,0.0,25005.0,0.0,0.0
250056102043,rank11,0.0,25005.0,0.0,0.0
250056111011,rank11,11.0,25005.0,27.0,16.0
250056111012,rank11,79.0,25005.0,53.0,-26.0
250056111021,rank11,0.0,25005.0,0.0,0.0
250056111022,rank11,0.0,25005.0,0.0,0.0
250056112011,rank11,0.0,25005.0,0.0,0.0
250056112012,rank11,0.0,25005.0,0.0,0.0
250056112021,rank11,0.0,25005.0,0.0,0.0
250056112022,rank11,0.0,25005.0,1.0,1.0
250056112023,rank11,0.0,25005.0,0.0,0.0
250056121001,rank11,0.0,25005.0,0.0,0.0
250056121002,rank11,0.0,25005.0,0.0,0.0
250056121003,rank11,2.0,25005.0,16.0,14.0
250056122001,rank11,0.0,25005.0,2.0,2.0
