MESOZONE,1_constr,2_eduhlth,3_finance,4_public,5_info,6_ret_leis,7_manu,8_other,9_profbus,10_ttu,total_jobs,total_households,rank11,rank21,rank22,rank23,rank3133,rank42,rank4445,rank4849,rank51,rank52,rank53,rank54,rank55,rank56,rank61,rank62,rank71,rank72,rank81,rank92,COUNTY,lehd_total,diff
250010101001,11,53,9,36,14,135,5,8,24,17,312,536,,,,2.0,,7.0,158.0,9.0,,6.0,23.0,7.0,,,2.0,22.0,7.0,65.0,4.0,,25001.0,312.0,0.0
250010101002,5,33,11,7,1,37,0,20,7,3,124,280,3.0,,,3.0,,,11.0,,,,28.0,1.0,,,,1.0,5.0,48.0,,,25001.0,100.0,24.0
250010101003,3,39,14,7,7,67,0,3,8,2,150,287,1.0,,,,,,53.0,,4.0,4.0,1.0,17.0,,8.0,20.0,92.0,,51.0,,2.0,25001.0,253.0,-103.0
250010101004,15,102,6,36,12,230,0,31,16,20,468,441,2.0,,,57.0,,,101.0,,17.0,5.0,6.0,13.0,,6.0,48.0,109.0,11.0,176.0,35.0,,25001.0,586.0,-118.0
250010101005,11,53,21,145,9,443,13,41,23,43,802,342,3.0,,,3.0,10.0,,115.0,4.0,,6.0,9.0,44.0,57.0,17.0,,7.0,19.0,221.0,13.0,117.0,25001.0,645.0,157.0
250010102061,18,52,9,44,7,99,1,16,15,2,263,311,,,,9.0,,,,,16.0,2.0,16.0,3.0,,8.0,,4.0,,56.0,27.0,,25001.0,141.0,122.0
250010102062,24,55,20,27,6,275,0,26,16,1,450,397,,,,44.0,,,62.0,,8.0,15.0,4.0,8.0,39.0,6.0,5.0,,55.0,90.0,11.0,36.0,25001.0,383.0,67.0
250010102063,34,155,7,17,4,80,2,20,25,5,349,512,5.0,,,59.0,,7.0,22.0,,1.0,8.0,5.0,7.0,,16.0,29.0,67.0,87.0,39.0,6.0,53.0,25001.0,411.0,-62.0
250010102081,21,55,14,43,47,71,1,3,16,15,286,321,5.0,,,59.0,,13.0,28.0,25.0,2.0,,,10.0,,2.0,43.0,,2.0,2.0,10.0,26.0,25001.0,227.0,59.0
250010102082,13,17,6,10,49,55,3,2,13,3,171,276,1.0,,,23.0,15.0,,10.0,,7.0,29.0,5.0,,,10.0,,5.0,44.0,55.0,1.0,,25001.0,205.0,-34.0
250010102083,19,30,18,9,35,23,2,22,22,1,181,301,,,,19.0,,1.0,3.0,,,,3.0,6.0,,6.0,9.0,,2.0,,5.0,31.0,25001.0,85.0,96.0
250010103041,21,27,3,1,2,50,0,3,24,2,133,358,,,,23.0,,,55.0,,3.0,20.0,,27.0,,15.0,,4.0,,1.0,7.0,,25001.0,155.0,-22.0
250010103042,15,41,4,1,8,72,2,2,13,1,159,314,,,,6.0,,,7.0,,8.0,,5.0,,,8.0,,,,9.0,,,25001.0,43.0,116.0
250010103043,9,14,2,52,1,36,0,19,6,2,141,220,,,,6.0,,,21.0,,,,,1.0,,1.0,,,34.0,1.0,,79.0,25001.0,143.0,-2.0
250010103061,12,29,7,1,2,76,1,15,34,2,179,371,,,,146.0,,2.0,20.0,,,,5.0,1.0,,43.0,,,26.0,60.0,15.0,,25001.0,318.0,-139.0
250010103062,78,128,10,9,6,156,3,13,28,13,444,358,,,,60.0,7.0,31.0,17.0,21.0,,21.0,17.0,15.0,,7.0,34.0,61.0,27.0,70.0,18.0,13.0,25001.0,419.0,25.0
250010103063,13,93,2,1,3,21,3,0,6,1,143,237,,,,29.0,,,5.0,,5.0,9.0,,4.0,,6.0,,27.0,,,,,25001.0,85.0,58.0
250010104001,26,19,16,24,1,267,1,43,59,6,462,268,2.0,,,5.0,,4.0,209.0,,,,16.0,1.0,,,2.0,4.0,,63.0,15.0,7.0,25001.0,328.0,134.0
250010104002,31,241,110,9,38,486,9,28,114,60,1126,402,,,,29.0,,8.0,289.0,4.0,58.0,45.0,17.0,91.0,,7.0,390.0,131.0,63.0,319.0,69.0,23.0,25001.0,1543.0,-417.0
250010104003,77,320,29,26,4,178,15,16,121,15,801,257,,,,86.0,31.0,33.0,137.0,,,162.0,28.0,95.0,,56.0,31.0,66.0,31.0,28.0,36.0,,25001.0,820.0,-19.0
250010104004,7,18,4,1,1,14,1,3,7,3,59,317,1.0,,,22.0,1.0,,18.0,,1.0,,4.0,2.0,,,4.0,3.0,,2.0,,,25001.0,58.0,1.0
250010105001,22,58,15,1,0,141,2,17,37,6,299,512,,,,26.0,8.0,,79.0,,,5.0,,10.0,,9.0,,53.0,6.0,65.0,9.0,31.0,25001.0,301.0,-2.0
250010105002,11,35,0,1,2,17,1,9,13,1,90,349,,,,8.0,,1.0,,,,2.0,2.0,2.0,,5.0,,4.0,,5.0,22.0,,25001.0,51.0,39.0
250010105003,24,12,12,22,3,89,1,4,22,5,194,331,,,,28.0,37.0,21.0,106.0,,,,,,2.0,17.0,,13.0,120.0,16.0,15.0,59.0,25001.0,434.0,-240.0
250010106001,30,120,13,2,5,87,1,8,18,1,285,228,,,,13.0,,,,,,,,5.0,,9.0,,267.0,49.0,,1.0,,25001.0,344.0,-59.0
250010106002,11,29,0,2,1,37,0,9,10,0,99,341,,,,7.0,,,,,,,1.0,3.0,,8.0,,1.0,6.0,7.0,,,25001.0,33.0,66.0
250010106003,17,102,5,11,2,45,17,3,33,13,248,480,2.0,,1.0,48.0,3.0,,22.0,2.0,,6.0,2.0,10.0,,24.0,462.0,49.0,47.0,18.0,7.0,4.0,25001.0,707.0,-459.0
250010106004,17,72,35,23,16,408,9,15,61,21,677,239,,,,3.0,32.0,11.0,110.0,,29.0,26.0,4.0,20.0,,20.0,2.0,22.0,,420.0,9.0,40.0,25001.0,748.0,-71.0
250010107001,35,22,4,55,4,55,7,12,45,18,257,351,1.0,,,59.0,17.0,42.0,60.0,10.0,,2.0,1.0,11.0,,72.0,,22.0,1.0,34.0,58.0,,25001.0,390.0,-133.0
250010107002,30,60,53,61,1,249,19,21,42,4,540,434,10.0,,,89.0,11.0,,139.0,,16.0,11.0,34.0,43.0,,14.0,,2.0,51.0,191.0,27.0,54.0,25001.0,692.0,-152.0
250010107003,14,47,6,3,3,58,4,12,25,16,188,321,1.0,,,,3.0,,16.0,,2.0,2.0,2.0,7.0,,15.0,,2.0,7.0,23.0,3.0,,25001.0,83.0,105.0
250010107004,14,23,7,0,4,30,2,6,14,0,100,231,,,,24.0,9.0,,33.0,,2.0,,,8.0,,,,7.0,,10.0,1.0,,25001.0,94.0,6.0
250010108001,10,21,1,1,14,19,0,8,14,1,89,291,,,,56.0,2.0,3.0,10.0,,,1.0,,10.0,,12.0,,16.0,17.0,2.0,,,25001.0,129.0,-40.0
250010108002,11,43,1,0,2,78,3,20,9,2,169,274,,,,8.0,2.0,5.0,18.0,,,,3.0,2.0,,,,16.0,,18.0,9.0,,25001.0,81.0,88.0
250010108003,21,141,56,20,4,332,2,35,32,10,653,333,4.0,,,12.0,,11.0,46.0,4.0,,18.0,49.0,28.0,,17.0,111.0,11.0,,163.0,38.0,102.0,25001.0,614.0,39.0
250010108004,13,49,2,25,0,47,0,86,30,4,256,281,,,,16.0,,,30.0,,6.0,,1.0,21.0,,11.0,,281.0,,26.0,,89.0,25001.0,481.0,-225.0
250010108005,28,129,1,20,11,71,5,11,22,2,300,726,,,,60.0,,,,7.0,,,,5.0,,20.0,,267.0,,10.0,1.0,,25001.0,370.0,-70.0
250010109001,50,91,11,16,26,227,5,27,23,7,483,696,,,,51.0,,32.0,35.0,,50.0,,,6.0,1.0,42.0,30.0,68.0,9.0,61.0,10.0,2.0,25001.0,397.0,86.0
250010109002,21,89,3,3,3,63,0,3,31,20,236,373,,,,22.0,,,,,1.0,,4.0,,,7.0,,278.0,20.0,,1.0,,25001.0,333.0,-97.0
250010109003,13,42,29,1,4,90,2,9,17,2,209,488,,,,35.0,,2.0,45.0,,9.0,3.0,,7.0,,1.0,18.0,21.0,,9.0,14.0,,25001.0,164.0,45.0
250010109004,10,23,22,0,0,11,1,3,9,0,79,251,,,,10.0,,,,,,,29.0,1.0,,,,1.0,,,,,25001.0,41.0,38.0
250010110021,12,97,18,2,5,80,0,7,23,0,244,227,,,,4.0,,3.0,7.0,,,,,2.0,,8.0,,28.0,1.0,38.0,9.0,,25001.0,100.0,144.0
250010110022,13,35,3,4,8,137,5,15,75,11,306,354,17.0,,,3.0,,2.0,93.0,,,3.0,,9.0,,56.0,6.0,19.0,11.0,37.0,2.0,,25001.0,258.0,48.0
250010110023,13,41,8,3,1,44,2,15,13,13,153,238,,,,17.0,3.0,,22.0,,,,,,,,,9.0,7.0,20.0,7.0,,25001.0,85.0,68.0
250010110024,106,83,10,20,21,102,36,19,100,45,542,696,2.0,,,316.0,24.0,5.0,8.0,78.0,1.0,,1.0,14.0,1.0,120.0,,96.0,10.0,,45.0,,25001.0,721.0,-179.0
250010111001,10,43,2,1,9,132,2,9,19,0,227,359,,,,24.0,3.0,,20.0,4.0,,27.0,5.0,2.0,,5.0,,37.0,,,2.0,,25001.0,129.0,98.0
250010111002,18,60,12,1,22,40,3,6,17,4,183,364,,,,69.0,,,45.0,,,7.0,1.0,,,18.0,58.0,6.0,1.0,149.0,11.0,,25001.0,365.0,-182.0
250010111003,34,122,2,5,4,202,4,4,22,35,434,534,3.0,,,8.0,,,233.0,,1.0,,,1.0,,7.0,172.0,52.0,25.0,,6.0,,25001.0,508.0,-74.0
250010111004,13,146,3,22,10,50,2,17,14,2,279,386,,,,18.0,,,67.0,,,,,4.0,,4.0,,20.0,1.0,8.0,1.0,286.0,25001.0,409.0,-130.0
250010112001,17,41,5,6,7,85,1,24,21,8,215,429,,,,14.0,,1.0,8.0,2.0,1.0,,,2.0,,7.0,,13.0,,66.0,3.0,,25001.0,117.0,98.0
250010112002,14,44,3,4,8,59,3,10,16,3,164,381,,,,14.0,,1.0,26.0,,5.0,,,,,2.0,,18.0,,84.0,11.0,,25001.0,161.0,3.0
250010112003,9,27,15,30,1,53,1,16,11,1,164,258,,,,24.0,,,23.0,,5.0,23.0,,,,6.0,4.0,37.0,2.0,32.0,3.0,,25001.0,159.0,5.0
250010112004,43,54,25,4,4,145,0,7,24,0,306,349,,,,112.0,,2.0,50.0,,1.0,11.0,5.0,23.0,,,,83.0,10.0,179.0,51.0,,25001.0,527.0,-221.0
250010113001,7,39,3,0,1,62,0,7,22,10,151,287,21.0,,,7.0,,,18.0,,,8.0,10.0,14.0,,,,3.0,,24.0,,,25001.0,105.0,46.0
250010113002,12,68,11,3,6,86,2,28,14,1,231,443,,,,4.0,,1.0,37.0,,,,,5.0,,,149.0,18.0,,16.0,6.0,,25001.0,236.0,-5.0
250010113003,9,37,10,11,9,85,12,10,27,2,212,283,,,,15.0,12.0,6.0,10.0,,15.0,5.0,,14.0,2.0,,,32.0,15.0,140.0,6.0,,25001.0,272.0,-60.0
250010114001,9,12,2,0,4,25,1,0,11,1,65,260,,,,18.0,,,34.0,,,,,10.0,,3.0,,42.0,,24.0,,,25001.0,131.0,-66.0
250010114002,29,21,6,2,2,31,4,2,9,5,111,376,,,,35.0,,5.0,7.0,,,9.0,,9.0,,26.0,,1.0,,3.0,8.0,,25001.0,103.0,8.0
250010114003,7,26,3,1,1,37,2,0,5,5,87,185,,,,,,,15.0,,4.0,,,,2.0,,,,12.0,50.0,12.0,11.0,25001.0,106.0,-19.0
250010114004,14,94,10,1,13,65,0,8,21,48,274,290,,,,34.0,,,30.0,1.0,,2.0,,,,5.0,,32.0,,51.0,16.0,,25001.0,171.0,103.0
250010115001,14,16,1,2,1,17,0,1,9,0,61,235,,,,9.0,,,,,,,,2.0,,,,,,,1.0,,25001.0,12.0,49.0
250010115002,9,22,3,35,2,25,3,10,9,2,120,385,2.0,,,8.0,,,3.0,,,,,,,23.0,,3.0,132.0,2.0,,112.0,25001.0,285.0,-165.0
250010115003,9,22,3,1,0,20,0,0,11,1,67,243,,,,14.0,,,,,,,,,,2.0,,2.0,4.0,,4.0,,25001.0,26.0,41.0
250010115004,57,120,76,66,20,391,11,8,90,44,883,287,3.0,,23.0,183.0,6.0,15.0,585.0,172.0,13.0,95.0,13.0,25.0,,135.0,1.0,184.0,7.0,123.0,33.0,,25001.0,1616.0,-733.0
250010115005,13,92,12,1,4,50,6,23,32,6,239,339,,,,84.0,,12.0,11.0,,,,,1.0,,39.0,,117.0,3.0,,8.0,7.0,25001.0,282.0,-43.0
250010116001,27,42,9,5,5,205,2,15,31,54,395,552,6.0,,,19.0,10.0,,168.0,74.0,8.0,9.0,,11.0,,32.0,,23.0,,168.0,14.0,,25001.0,542.0,-147.0
250010116002,21,42,6,3,0,53,0,12,14,1,152,289,,,,24.0,,,24.0,,,5.0,1.0,1.0,,17.0,,,,4.0,,,25001.0,76.0,76.0
250010116003,5,60,13,2,11,223,2,2,30,0,348,306,,,,,,,,,13.0,,18.0,,,,,2.0,,64.0,34.0,,25001.0,131.0,217.0
250010117001,7,30,8,0,5,60,0,8,16,5,139,258,,,,4.0,,11.0,11.0,,10.0,13.0,9.0,8.0,,8.0,,8.0,,17.0,13.0,,25001.0,112.0,27.0
250010117002,5,31,2,2,1,24,3,1,11,5,85,238,,,,12.0,1.0,2.0,45.0,,20.0,2.0,,10.0,,12.0,,4.0,7.0,141.0,6.0,,25001.0,262.0,-177.0
250010117003,31,116,23,55,8,87,2,8,42,4,376,351,1.0,,,15.0,,,16.0,,,9.0,10.0,8.0,6.0,2.0,,9.0,,79.0,1.0,36.0,25001.0,192.0,184.0
250010118011,27,66,19,0,2,141,3,16,20,1,295,631,,,,,4.0,,77.0,1.0,,,81.0,,2.0,,,22.0,,46.0,8.0,,25001.0,241.0,54.0
250010118012,17,60,3,1,4,121,2,13,11,4,236,358,,,,3.0,,,13.0,,,,,14.0,,,1.0,22.0,1.0,7.0,2.0,,25001.0,63.0,173.0
250010118021,13,64,33,0,35,29,2,9,42,1,228,311,,,,4.0,,,2.0,,14.0,20.0,,13.0,,11.0,,27.0,,22.0,4.0,,25001.0,117.0,111.0
250010118022,28,87,28,11,3,102,14,11,102,15,401,305,,,,45.0,,26.0,26.0,,6.0,13.0,7.0,55.0,,46.0,,121.0,28.0,71.0,135.0,5.0,25001.0,584.0,-183.0
250010118023,20,20,0,2,10,47,1,6,21,6,133,520,,,124.0,3.0,,1.0,9.0,,,,,,,168.0,3.0,2.0,,,4.0,,25001.0,314.0,-181.0
250010118024,11,56,16,1,5,53,1,45,24,11,223,415,,,,6.0,,,,,,,,5.0,,6.0,2.0,48.0,,25.0,,,25001.0,92.0,131.0
250010120011,24,43,7,2,5,94,2,21,19,0,217,649,,,,4.0,,,3.0,,,,77.0,1.0,,6.0,,1.0,3.0,4.0,6.0,,25001.0,105.0,112.0
250010120012,155,385,34,27,9,324,74,18,356,72,1454,581,,,108.0,460.0,20.0,66.0,282.0,24.0,76.0,80.0,18.0,65.0,74.0,50.0,522.0,347.0,34.0,98.0,27.0,,25001.0,2351.0,-897.0
250010120013,3,46,1,10,6,24,1,1,9,2,103,461,,,,5.0,,,,,,,,,,2.0,,33.0,2.0,,8.0,,25001.0,50.0,53.0
250010120014,19,98,0,2,5,18,1,18,14,3,178,518,,,,8.0,,,,,1.0,,,1.0,,6.0,,45.0,,,15.0,,25001.0,76.0,102.0
250010120021,20,50,15,134,6,359,5,28,41,30,688,502,,,,8.0,,,250.0,,,23.0,2.0,,,25.0,,54.0,40.0,198.0,21.0,135.0,25001.0,756.0,-68.0
250010120022,39,73,24,31,7,285,18,31,49,9,566,483,,,,36.0,3.0,,51.0,,,,9.0,16.0,,48.0,,66.0,18.0,149.0,18.0,50.0,25001.0,464.0,102.0
250010120023,47,73,6,3,3,189,0,17,31,11,380,361,,,,,,,7.0,14.0,,1.0,10.0,6.0,,,2.0,9.0,,87.0,19.0,,25001.0,155.0,225.0
250010121011,84,205,17,1,4,133,52,10,57,20,583,501,,,,107.0,116.0,4.0,30.0,,,69.0,,17.0,,67.0,17.0,102.0,,,29.0,,25001.0,558.0,25.0
250010121012,36,64,11,32,6,89,2,14,61,12,327,343,,,,10.0,,15.0,7.0,127.0,,,,38.0,,17.0,,105.0,,,12.0,,25001.0,331.0,-4.0
250010121013,10,30,1,2,4,17,2,2,1,0,69,326,,,,12.0,,,,,,1.0,1.0,,,13.0,,1.0,,,,,25001.0,28.0,41.0
250010121014,34,47,5,0,6,57,2,7,18,14,190,311,,,,40.0,8.0,3.0,10.0,,,,,,,13.0,,17.0,9.0,58.0,,,25001.0,158.0,32.0
250010121015,19,32,9,0,5,145,4,9,41,3,267,377,,,,7.0,,,13.0,,,,5.0,1.0,,8.0,,13.0,,28.0,,,25001.0,75.0,192.0
250010121021,13,32,13,1,22,145,6,19,34,6,291,335,,,,25.0,,,65.0,,,,1.0,12.0,5.0,25.0,,13.0,,107.0,5.0,,25001.0,258.0,33.0
250010121022,10,88,13,0,5,76,0,14,21,1,228,319,,,,,,3.0,3.0,,,7.0,18.0,6.0,,4.0,,36.0,,83.0,3.0,,25001.0,163.0,65.0
250010121023,16,11,4,0,3,185,0,4,12,2,237,305,,,,28.0,16.0,,,,,,4.0,8.0,,5.0,,48.0,,183.0,,,25001.0,292.0,-55.0
250010121024,16,197,2,15,4,106,0,4,15,4,363,340,,,,14.0,,,29.0,,,6.0,,,,31.0,,191.0,111.0,21.0,39.0,69.0,25001.0,511.0,-148.0
250010122001,13,10,2,6,8,29,0,5,8,4,85,471,7.0,,,25.0,,2.0,,,,,,3.0,,10.0,21.0,10.0,33.0,,6.0,9.0,25001.0,126.0,-41.0
250010122002,8,144,21,273,5,80,8,7,52,7,605,339,,,,13.0,6.0,13.0,46.0,8.0,28.0,,5.0,27.0,,17.0,,24.0,3.0,61.0,45.0,392.0,25001.0,688.0,-83.0
250010122003,49,106,12,7,15,143,7,36,51,24,450,808,4.0,,,46.0,9.0,9.0,52.0,2.0,8.0,13.0,,49.0,,4.0,297.0,10.0,,106.0,206.0,33.0,25001.0,848.0,-398.0
250010122004,16,26,3,4,1,44,2,5,14,5,120,242,,,,9.0,,,8.0,,,,,,,,,8.0,,,12.0,,25001.0,37.0,83.0
250010125021,6,13,3,1,6,78,1,27,13,2,150,293,,,,,,,,,,2.0,2.0,5.0,,,,9.0,88.0,1.0,4.0,,25001.0,111.0,39.0
250010125022,11,179,0,3,6,41,0,11,22,2,275,375,,,,1.0,,,,,10.0,,,,,,,147.0,2.0,4.0,,,25001.0,164.0,111.0
250010125023,13,29,2,2,2,108,1,3,12,4,176,315,,,,17.0,,,61.0,13.0,3.0,,2.0,4.0,,48.0,14.0,353.0,2.0,66.0,10.0,,25001.0,593.0,-417.0
250010125024,6,15,12,1,1,119,5,4,12,1,176,262,,,,2.0,,1.0,10.0,,,4.0,,,,2.0,,38.0,22.0,36.0,10.0,,25001.0,125.0,51.0
250010126011,17,107,5,150,2,170,1,17,53,0,522,592,,,,35.0,5.0,1.0,13.0,1.0,,2.0,2.0,,,23.0,,197.0,,234.0,9.0,165.0,25001.0,687.0,-165.0
250010126012,18,269,14,2,2,135,1,10,19,14,484,310,,,,12.0,3.0,,143.0,,,8.0,,12.0,,39.0,,33.0,77.0,52.0,4.0,,25001.0,383.0,101.0
250010126021,2,93,3,0,0,40,0,11,23,1,173,368,,,,11.0,,,49.0,,,,8.0,8.0,,3.0,,108.0,,44.0,10.0,,25001.0,241.0,-68.0
250010126022,5,64,42,2,1,65,2,26,20,0,227,421,,,,9.0,,32.0,122.0,24.0,,68.0,,6.0,20.0,,,76.0,,30.0,30.0,,25001.0,417.0,-190.0
250010126023,7,48,8,4,3,37,3,7,43,4,164,336,,,,2.0,,,15.0,,,8.0,,32.0,,3.0,,11.0,250.0,35.0,42.0,,25001.0,398.0,-234.0
250010126024,3,33,13,0,1,31,0,11,47,8,147,304,,,,,,,5.0,,,1.0,2.0,27.0,,2.0,,22.0,,70.0,41.0,,25001.0,170.0,-23.0
250010127001,3,60,6,30,4,11,0,4,8,1,127,479,,,,,,2.0,,,16.0,8.0,,3.0,,3.0,,60.0,,14.0,2.0,75.0,25001.0,183.0,-56.0
250010127002,25,158,46,1,17,48,23,12,59,1,390,362,,,,17.0,37.0,3.0,45.0,,46.0,17.0,6.0,49.0,,6.0,,231.0,4.0,7.0,3.0,,25001.0,471.0,-81.0
250010127003,5,3,5,0,12,25,0,19,9,3,81,297,,,,13.0,,,,,,4.0,,1.0,,9.0,,4.0,4.0,,19.0,,25001.0,54.0,27.0
250010127004,20,74,11,0,4,107,2,5,20,6,249,495,,,,6.0,3.0,,61.0,,,1.0,11.0,3.0,,13.0,2.0,,,12.0,16.0,,25001.0,128.0,121.0
250010128001,17,45,24,1,2,114,19,39,40,31,332,378,,,,18.0,,,73.0,,1.0,76.0,9.0,54.0,,9.0,12.0,63.0,16.0,99.0,47.0,,25001.0,477.0,-145.0
250010128002,8,38,54,16,16,67,3,4,43,16,265,397,,,,,2.0,2.0,24.0,,,32.0,33.0,20.0,,3.0,,,5.0,35.0,5.0,,25001.0,161.0,104.0
250010128003,12,6,2,1,1,60,0,8,15,3,108,589,2.0,,,15.0,,,,3.0,1.0,7.0,4.0,2.0,,3.0,9.0,5.0,,,27.0,,25001.0,78.0,30.0
250010129001,7,124,1,0,0,19,0,7,9,0,167,341,,,,6.0,,,2.0,,,,,6.0,,11.0,8.0,1.0,2.0,,,,25001.0,36.0,131.0
250010129002,18,54,0,0,0,11,2,0,2,5,92,434,,,,21.0,,6.0,7.0,,,,6.0,,,2.0,,16.0,1.0,,,,25001.0,59.0,33.0
250010129003,5,2,5,0,1,2,0,0,6,0,21,572,,,,30.0,,3.0,,4.0,,10.0,1.0,4.0,,4.0,2.0,14.0,1.0,,,,25001.0,73.0,-52.0
250010130021,10,27,26,21,0,78,20,5,38,11,236,235,,,,33.0,,20.0,9.0,,,,6.0,30.0,,26.0,,2.0,131.0,,15.0,,25001.0,272.0,-36.0
250010130022,23,36,45,0,18,81,19,16,42,11,291,240,2.0,,,15.0,8.0,10.0,60.0,,18.0,17.0,25.0,35.0,26.0,5.0,,27.0,66.0,76.0,23.0,,25001.0,413.0,-122.0
250010130023,28,14,38,5,0,68,7,4,21,14,199,387,,,,64.0,,6.0,23.0,,,12.0,43.0,3.0,,4.0,,123.0,,51.0,11.0,,25001.0,340.0,-141.0
250010130024,57,87,27,16,1,14,0,5,38,5,250,349,,,13.0,59.0,,,41.0,32.0,,,4.0,7.0,,11.0,330.0,41.0,8.0,,14.0,,25001.0,560.0,-310.0
250010131001,24,14,11,1,1,49,4,7,61,8,180,415,,,,35.0,3.0,,13.0,,,16.0,4.0,10.0,,15.0,4.0,2.0,,14.0,1.0,,25001.0,117.0,63.0
250010131002,47,27,18,13,8,99,9,11,127,13,372,729,16.0,,,106.0,3.0,3.0,21.0,6.0,16.0,,7.0,27.0,,211.0,,45.0,9.0,23.0,25.0,,25001.0,518.0,-146.0
250010131003,17,21,1,6,3,31,6,0,13,6,104,220,1.0,,,23.0,,,,3.0,,,,25.0,,1.0,,,49.0,,2.0,,25001.0,104.0,0.0
250010131004,10,19,2,0,5,28,1,5,20,6,96,522,2.0,,2.0,13.0,,,,,,,1.0,2.0,,13.0,2.0,36.0,,,,,25001.0,71.0,25.0
250010132001,30,51,4,9,8,42,6,11,13,3,177,461,12.0,,,22.0,7.0,1.0,16.0,,13.0,3.0,4.0,24.0,,3.0,28.0,16.0,1.0,12.0,2.0,20.0,25001.0,184.0,-7.0
250010132002,87,86,23,12,12,211,6,4,50,12,503,818,,,1.0,110.0,6.0,2.0,218.0,25.0,2.0,5.0,8.0,4.0,,28.0,,67.0,16.0,38.0,11.0,6.0,25001.0,547.0,-44.0
250010132003,15,34,7,4,3,37,4,7,34,9,154,423,6.0,,,26.0,,11.0,2.0,,,8.0,,4.0,,12.0,,3.0,,27.0,28.0,,25001.0,127.0,27.0
250010133001,28,58,11,1,5,74,2,11,32,17,239,268,,,46.0,13.0,,15.0,165.0,7.0,4.0,11.0,3.0,21.0,,23.0,1.0,211.0,,226.0,16.0,10.0,25001.0,772.0,-533.0
250010133002,10,23,16,17,1,51,1,0,31,6,156,383,12.0,20.0,21.0,7.0,,3.0,34.0,,18.0,19.0,,42.0,,6.0,,23.0,164.0,102.0,4.0,135.0,25001.0,610.0,-454.0
250010133003,8,54,17,16,2,88,23,105,14,0,327,581,,,,66.0,,,29.0,,,7.0,7.0,8.0,,7.0,388.0,146.0,,182.0,5.0,91.0,25001.0,936.0,-609.0
250010134001,28,1321,10,1,6,156,10,2,16,9,1559,361,,,,21.0,1.0,,20.0,,,,14.0,11.0,,6.0,3.0,2.0,,6.0,,,25001.0,84.0,1475.0
250010134002,3,0,0,0,3,27,5,1,1,8,48,253,3.0,,,,,2.0,,,,,,2.0,,,,,20.0,,4.0,,25001.0,31.0,17.0
250010134003,26,46,10,0,4,67,3,4,11,13,184,482,,,,12.0,7.0,16.0,15.0,,,9.0,12.0,16.0,,,,25.0,2.0,27.0,,,25001.0,141.0,43.0
250010134004,13,59,0,1,5,26,0,6,10,6,126,269,,,,5.0,,1.0,5.0,,3.0,,,11.0,,7.0,315.0,3.0,,5.0,,,25001.0,355.0,-229.0
250010135001,28,69,3,2,10,85,1,4,12,14,228,529,,,,10.0,,5.0,1.0,,2.0,15.0,,80.0,,12.0,,71.0,5.0,33.0,5.0,,25001.0,239.0,-11.0
250010135002,10,7,2,0,2,36,1,0,8,2,68,406,,,,23.0,,2.0,1.0,4.0,1.0,,,4.0,,1.0,8.0,5.0,,,7.0,,25001.0,56.0,12.0
250010135003,14,29,6,0,8,44,4,4,17,6,132,835,,,,27.0,,1.0,,1.0,,,1.0,4.0,,22.0,,8.0,,,10.0,,25001.0,74.0,58.0
250010135004,6,7,1,0,2,11,0,0,2,5,34,303,,,,12.0,8.0,2.0,,,,1.0,,8.0,,,,6.0,30.0,,1.0,,25001.0,68.0,-34.0
250010136001,98,432,17,8,22,256,36,102,115,58,1144,884,,,,209.0,44.0,138.0,353.0,,31.0,35.0,14.0,50.0,6.0,110.0,9.0,657.0,15.0,248.0,85.0,5.0,25001.0,2009.0,-865.0
250010136002,27,339,3,0,6,123,0,18,15,11,542,707,,,,8.0,,,6.0,5.0,,,7.0,21.0,,7.0,5.0,43.0,,8.0,20.0,,25001.0,130.0,412.0
250010136003,9,51,8,0,5,45,4,0,10,16,148,281,,,,7.0,,,1.0,,1.0,,,1.0,,39.0,2.0,32.0,,,,,25001.0,83.0,65.0
250010137001,9,80,6,7,4,48,0,11,25,8,198,505,25.0,,,8.0,,,22.0,,17.0,2.0,,13.0,,1.0,,6.0,3.0,35.0,5.0,7.0,25001.0,144.0,54.0
250010137002,7,89,0,0,0,11,0,3,7,2,119,237,,,,20.0,3.0,,2.0,,,,,,,2.0,,141.0,,,,,25001.0,168.0,-49.0
250010137003,6,11,2,1,0,10,0,51,3,2,86,349,,,,9.0,,,1.0,,,,,2.0,,,,3.0,,,,1.0,25001.0,16.0,70.0
250010137004,29,299,51,94,7,286,8,53,86,54,967,351,,,8.0,24.0,9.0,28.0,122.0,,,37.0,6.0,69.0,,5.0,336.0,52.0,26.0,232.0,48.0,216.0,25001.0,1218.0,-251.0
250010138001,125,56,13,0,3,117,56,21,191,50,632,828,,,,132.0,14.0,10.0,129.0,46.0,7.0,14.0,20.0,149.0,,98.0,1.0,28.0,,87.0,7.0,,25001.0,742.0,-110.0
250010138002,8,33,2,0,3,15,2,4,13,13,93,453,,,8.0,5.0,148.0,18.0,176.0,,1.0,19.0,,5.0,,27.0,,195.0,,62.0,53.0,,25001.0,717.0,-624.0
250010138003,32,42,7,1,4,199,9,7,20,40,361,373,,,,22.0,1.0,2.0,178.0,11.0,18.0,,,33.0,,1.0,18.0,18.0,,31.0,6.0,,25001.0,339.0,22.0
