MESOZONE,1_constr,2_eduhlth,3_finance,4_public,5_info,6_ret_leis,7_manu,8_other,9_profbus,10_ttu,total_jobs,total_households,rank11,rank21,rank22,rank23,rank3133,rank42,rank4445,rank4849,rank51,rank52,rank53,rank54,rank55,rank56,rank61,rank62,rank71,rank72,rank81,rank92,COUNTY,lehd_total,diff
250277211022,33,223,24,27,2,94,3,23,19,38,486,916,,,,48.0,,11.0,73.0,10.0,5.0,1.0,,14.0,,,159.0,440.0,1.0,72.0,19.0,13.0,25027.0,866.0,-380.0
250277211023,47,218,10,15,8,99,6,10,80,50,543,939,,,,20.0,,,32.0,,,,,14.0,,53.0,1.0,16.0,3.0,31.0,1.0,,25027.0,171.0,372.0
250277221001,52,193,28,17,2,114,15,20,20,56,517,931,4.0,,,33.0,31.0,,,4.0,,,,3.0,,3.0,,13.0,,8.0,21.0,,25027.0,120.0,397.0
250277221002,12,134,8,63,7,93,0,6,21,19,363,522,,,7.0,4.0,,1.0,62.0,12.0,5.0,24.0,,15.0,,,89.0,11.0,4.0,58.0,1.0,51.0,25027.0,344.0,19.0
250277221003,48,782,19,18,15,182,6,43,63,158,1334,1016,1.0,1.0,1.0,33.0,7.0,27.0,76.0,8.0,,,,3.0,,7.0,539.0,10.0,,3.0,7.0,,25027.0,723.0,611.0
250277221004,6,45,3,1,1,15,2,8,3,32,116,386,,,,7.0,,,,,,,,,,,,11.0,,22.0,2.0,,25027.0,42.0,74.0
250277231001,61,313,12,26,13,135,20,14,32,102,728,1121,17.0,,,20.0,14.0,,18.0,,3.0,,,48.0,,7.0,177.0,11.0,,,6.0,,25027.0,321.0,407.0
250277231002,4,86,0,20,2,13,8,4,11,12,160,418,,,3.0,12.0,36.0,,22.0,4.0,2.0,,,15.0,,8.0,15.0,12.0,,2.0,6.0,41.0,25027.0,178.0,-18.0
250277231003,8,36,0,69,2,22,6,8,10,9,170,623,7.0,,,18.0,11.0,,,7.0,,,,4.0,,4.0,7.0,2.0,,2.0,1.0,166.0,25027.0,229.0,-59.0
250277241001,42,208,12,7,1,72,2,12,10,38,404,741,,,,19.0,,,1.0,18.0,,,,,,1.0,6.0,17.0,,7.0,1.0,,25027.0,70.0,334.0
