COUNTY,orig_emp,adj_emp,abs_diff
25001.0,87021.0,161101.0,74080.0
25003.0,57624.0,118322.0,60698.0
25005.0,224382.0,448403.0,224021.0
25007.0,7389.0,16164.0,8775.0
25009.0,326995.0,684906.0,357911.0
25011.0,26100.0,51122.0,25022.0
25013.0,210185.0,415501.0,205316.0
25015.0,68274.0,123313.0,55039.0
25017.0,919919.0,1791624.0,871705.0
25019.0,5625.0,13616.0,7991.0
25021.0,362433.0,700824.0,338391.0
25023.0,189740.0,390669.0,200929.0
25025.0,695790.0,1359914.0,664124.0
25027.0,347798.0,673511.0,325713.0
33001.0,25502.0,25502.0,0.0
33011.0,208022.0,206703.0,-1319.0
33013.0,84108.0,74742.0,-9366.0
33015.0,153759.0,142479.0,-11280.0
33017.0,49469.0,49268.0,-201.0
44001.0,13764.0,15352.0,1588.0
44003.0,77669.0,80975.0,3306.0
44005.0,33420.0,44713.0,11293.0
44007.0,293274.0,306032.0,12758.0
44009.0,50290.0,54380.0,4090.0
