"Industry_NAICS6_Make","Industry_NAICS6_Use","ProVal"
"1111A0","1111A0",3963.3259676389
"111900","1111A0",498.183431686453
"1121A0","1111A0",64.8429228544273
"112300","1111A0",17.3968817414317
"112A00","1111A0",39.538367594163
"115000","1111A0",3043.73197302326
"212310","1111A0",65.5100515806202
"2123A0","1111A0",1.6797449123236
"221100","1111A0",193.7712910874
"221200","1111A0",54.3504840854903
"221300","1111A0",265.844759113811
"230301","1111A0",674.419944602469
"321910","1111A0",4.41236257274784
"3219A0","1111A0",1.10309064318696
"322291","1111A0",3.19615422164972
"323110","1111A0",1.8946202209801
"324110","1111A0",1096.28235409598
"324190","1111A0",9.38451820626908
"325180","1111A0",302.666621207435
"325310","1111A0",3891.42798695274
"325320","1111A0",3738.43167293579
"3259A0","1111A0",38.2490785042363
"326190","1111A0",55.8843695761811
"326210","1111A0",120.0479050155
"326220","1111A0",10.3489573289224
"327330","1111A0",2.01798756118214
"327400","1111A0",1.00899378059107
"331200","1111A0",9.88093237230321
"332200","1111A0",77.1742223242008
"332310","1111A0",32.237333375932
"332710","1111A0",2.93066667053927
"33299B","1111A0",9.76888890179758
"333111","1111A0",1782.26517582322
"33391A","1111A0",40.7374897331021
"333920","1111A0",35.6453035164643
"333991","1111A0",53.4679552746965
"33399A","1111A0",20.3687448665511
"335312","1111A0",12.0605398673045
"335911","1111A0",315.296970816675
"336310","1111A0",25.1112025786589
"336320","1111A0",232.278623852594
"336360","1111A0",9.41670096699707
"336390","1111A0",175.778418050612
"339990","1111A0",23.4443338478358
"423800","1111A0",1.68664442960533
"424900","1111A0",5.059933288816
"484000","1111A0",1.13264190249255
"491000","1111A0",1.77926891780251
"492000","1111A0",121.672046539538
"511120","1111A0",28.1284005033353
"517110","1111A0",45.2722845649945
"517210","1111A0",55.1755968135871
"517A00","1111A0",9.90331224859255
"522A00","1111A0",13.1748544800842
"523900","1111A0",27.191037391356
"524100","1111A0",213.233560089289
"524200","1111A0",62.8765625904313
"52A000","1111A0",89.3598825605713
"531000","1111A0",3406.85872502382
"532100","1111A0",249.862794403675
"532400","1111A0",279.662944194939
"533000","1111A0",10.3154364662068
"541100","1111A0",33.7037676542877
"541200","1111A0",163.569131602398
"541300","1111A0",4.54358698895549
"541512","1111A0",2.96966695116044
"54151A","1111A0",4.45450042674066
"541610","1111A0",1.13589674723887
"561100","1111A0",0.836230547111969
"561300","1111A0",0.836230547111969
"561400","1111A0",2.50869164133591
"561700","1111A0",22.5782247720232
"562000","1111A0",33.3230460958585
"611A00","1111A0",10.4510199631671
"711100","1111A0",5.50696478153095
"711200","1111A0",8.26044717229643
"713900","1111A0",65.7449810485624
"722110","1111A0",109.288036266875
"722211","1111A0",22.5004780549449
"722A00","1111A0",28.9291860706434
"811100","1111A0",65.6899225483566
"811200","1111A0",30.498892611737
"811300","1111A0",9.38427464976524
"813B00","1111A0",180.647287007981
"1111A0","1111B0",202.436442082114
"1111B0","1111B0",10185.0834922564
"111900","1111B0",1464.5011356878
"1121A0","1111B0",393.802141237863
"112A00","1111B0",205.599511489647
"115000","1111B0",10329.9908213531
"212310","1111B0",355.26604895644
"2123A0","1111B0",860.029395109681
"221100","1111B0",190.226694299216
"221200","1111B0",525.781856913982
"221300","1111B0",660.47653486498
"230301","1111B0",930.699523551408
"313100","1111B0",119.132790560735
"314900","1111B0",3.90599313313887
"3219A0","1111B0",4.41236257274784
"322210","1111B0",1.06538474054991
"322230","1111B0",3.19615422164972
"322291","1111B0",3.19615422164972
"323110","1111B0",3.7892404419602
"324110","1111B0",3014.98975826863
"325180","1111B0",377.50177480268
"325310","1111B0",22152.8684676057
"325320","1111B0",11501.3316058825
"3259A0","1111B0",98.1172013804322
"326110","1111B0",9.31406159603019
"326120","1111B0",165.583317262759
"326190","1111B0",76.582284234026
"326210","1111B0",299.084866805858
"326220","1111B0",27.9421847880906
"331200","1111B0",40.5118227264431
"332200","1111B0",153.371555758222
"332310","1111B0",15.6302222428761
"332710","1111B0",13.6764444625166
"33299B","1111B0",25.3991111446737
"333111","1111B0",4323.26609792546
"333920","1111B0",20.3687448665511
"333991","1111B0",78.9288863578853
"33399A","1111B0",56.0140483830154
