ORIG_CFS_AREA,Commodity_SCTG,UnitCost
01-142,1,1322.5958733389903
01-142,2,116.9289717688085
01-142,3,346.3125504115626
01-142,4,346.2469556911336
01-142,5,2398.8180472050403
01-142,6,518.7906867505232
01-142,7,758.6594728683408
01-142,8,2544.2255291721094
01-142,9,334897.3809213565
01-142,10,25.328293690872865
01-142,11,57.511110631109666
01-142,12,29.7347988621608
01-142,13,131.50499514018878
01-142,14,5886.098984462775
01-142,15,67.7445158406925
01-142,17,524.6093554180467
01-142,18,532.795926139745
01-142,19,196.25044026164966
01-142,20,1565.838941120509
01-142,21,97881.49999308672
01-142,22,818.9379647844219
01-142,23,1232.8976991859618
01-142,24,3774.9962328482256
01-142,25,17.910616270128877
01-142,26,368.0252134686851
01-142,27,1121.1300487838053
01-142,28,2201.2310983381913
01-142,29,11144.890207555198
01-142,30,15551.87683649708
01-142,31,141.3755211556125
01-142,32,1166.3796887001365
01-142,33,1623.409981910278
01-142,34,14221.196036823192
01-142,35,16183.266212072187
01-142,36,6536.653040853626
01-142,37,832.218853127339
01-142,38,138786.00213808025
01-142,39,1554.9454381813264
01-142,40,3281.402239795761
01-142,41,102.1358743345309
01-142,43,2883.278367896023
01-380,1,3985.58020392217
01-380,2,280.47942106879816
01-380,3,197.12538437545567
01-380,4,2374.519951655656
01-380,5,5955.478559020763
01-380,6,1816.4541789858179
01-380,7,645.5153181642465
01-380,8,2302.603122130545
01-380,9,22870.163749294185
01-380,10,308.02861639012673
01-380,11,7.963969483042876
01-380,12,14.934234945594456
01-380,13,117.52578659703171
01-380,16,322.5699277602832
01-380,17,405.4231799233757
01-380,18,461.64221974483627
01-380,19,169.0325075977346
01-380,20,911.5664470111367
01-380,21,280361.6639205114
01-380,22,460.37399752517683
01-380,23,2370.824606263906
01-380,24,3369.192513604179
01-380,25,13.324579126112063
01-380,26,617.832171545606
01-380,27,1056.6299008391704
01-380,28,2094.12696788514
01-380,29,4143.780730269663
01-380,30,3590.4414949738753
01-380,31,218.50170331460535
01-380,32,1017.3675552606518
01-380,33,3628.7330679720735
01-380,34,3694.475541509652
01-380,35,11138.029241484448
01-380,36,1998.540373272505
01-380,37,49784.20331485083
01-380,38,52330.018292751374
01-380,39,3383.00037888654
01-380,40,2837.6797129225697
01-380,41,130.25984492530563
01-380,43,3948.6048587675755
01-99999,1,1451.5847929224483
01-99999,2,152.1968870508738
01-99999,3,312.88112215302056
01-99999,4,374.73561502143457
01-99999,5,2340.180714886296
01-99999,6,1152.440950445447
01-99999,7,1296.8841777709538
01-99999,8,1360.3635659925683
01-99999,9,12511.503710652489
01-99999,10,1255.167261186586
01-99999,11,16.846528052511882
01-99999,12,10.308139777577084
01-99999,13,123.44721198044388
01-99999,14,185.9936549855027
01-99999,15,197.7824076372388
01-99999,16,322.56991986248676
01-99999,17,494.72075965408413
01-99999,18,493.04955775064377
01-99999,19,170.44987663972466
01-99999,20,423.52996007431994
01-99999,21,372241.2379900256
01-99999,22,305.38596997286714
01-99999,23,2712.4069738989665
01-99999,24,2393.4333898387426
01-99999,25,15.419683901720848
01-99999,26,417.91016883170346
01-99999,27,703.9547879985928
01-99999,28,1632.6485271314552
01-99999,29,1643.870761100668
01-99999,30,7267.132756413995
01-99999,31,305.13821286175255
01-99999,32,973.3481588068123
01-99999,33,2819.260341397695
01-99999,34,9140.130096343391
01-99999,35,19311.61084644069
01-99999,36,6800.66436041999
01-99999,37,3615.553906019398
01-99999,38,45218.02264967215
01-99999,39,4266.219067608399
01-99999,40,2419.6204554846577
01-99999,41,115.52048907722306
01-99999,43,2713.1210320233745
02-99999,1,576.9397590732615
02-99999,2,100.2442660974034
02-99999,3,1180.0116253413191
02-99999,4,823.6405590221545
02-99999,5,5063.212990367142
02-99999,6,3883.778804135157
02-99999,7,1835.6230182445122
02-99999,8,2996.2714015221177
02-99999,9,118889.3568331074
02-99999,10,354.21709596116693
02-99999,11,6.316687617306725
02-99999,12,13.725467591452915
02-99999,13,168.2820983269014
02-99999,14,96000.10467778868
02-99999,15,50.82555334257924
02-99999,16,315.5199390086849
02-99999,17,526.0391701715798
02-99999,18,571.3256488212363
02-99999,19,451.946012348656
02-99999,20,1215.6790453706565
02-99999,21,74224.3579913785
02-99999,22,818.8715670841725
02-99999,23,1491.9598759945895
02-99999,24,6524.191792508646
02-99999,25,21.449521222968524
02-99999,26,937.534748526173
02-99999,27,913.504763285876
02-99999,28,3424.9023952761004
02-99999,29,11389.011273399083
02-99999,30,14868.215137382722
02-99999,31,153.3844711841749
02-99999,32,3484.4822889131424
02-99999,33,2896.153762636102
02-99999,34,22984.469556324122
02-99999,35,9688.348821271393
02-99999,36,6934.963604590084
02-99999,37,297823.524658146
02-99999,38,29747.400412959538
02-99999,39,6176.817182025069
02-99999,40,16921.85811573752
02-99999,41,0.00776897924805431
02-99999,43,2873.446184387532
04-38060,1,4346.689976937993
04-38060,2,202.47019012071536
04-38060,3,730.9855701218637
04-38060,4,832.1053330410278
04-38060,5,2807.6217370164936
04-38060,6,1655.5251881184988
04-38060,7,1347.5125943783225
04-38060,8,2331.685868149282
04-38060,9,22869.901902511403
04-38060,10,315.3971207805133
04-38060,11,14.299697756271165
04-38060,12,12.785769779014615
04-38060,13,84.276117486963
04-38060,14,3206.23885530083
04-38060,15,1876.1957556891675
04-38060,17,586.1122298236003
04-38060,18,723.2747122880497
04-38060,19,212.0114337281907
04-38060,20,4337.729865419532
04-38060,21,89621.10863841072
04-38060,22,813.0276756892574
04-38060,23,5433.464102076206
04-38060,24,3263.4988278092887
04-38060,25,692.1639457837935
04-38060,26,1140.4827221021706
04-38060,27,3174.8836852420864
