dms_dest,SCTG_Code,tons_2040,value_density_2040
11,1,1964.98772,0.7044556565981999
11,2,256.451322,0.09425106024604543
11,3,258.10148300000003,1.0358959618996066
11,4,1243.901523,0.35000736187699
11,5,383.222642,1.448727935548234
11,6,564.2836789999999,0.5324178204700477
11,7,2822.039907,0.5933461377872712
11,8,620.833785,0.8622734908023731
11,9,9.663689,6.759696943889648
11,10,56.527943,0.23597519725775268
11,11,7708.843419000001,0.005273594920841393
11,12,18393.957015,0.005365494951386348
11,13,1777.309203,0.019806661069767726
11,14,22.856841,0.2541690472449802
11,15,3074.145871,0.02273935864899626
11,17,3984.491175,0.2621221645697333
11,18,1495.3886120000002,0.255299494349767
11,19,25071.404361,0.09650880739109466
11,20,2368.945856,0.3291746848181236
11,21,358.380918,16.69296728292883
11,22,419.685752,0.20783247366472427
11,23,1539.333865,0.7415340836407831
11,24,2211.694711,1.3437457119279606
11,25,6925.227325999999,0.013539851774679493
11,26,3931.059248,0.21032758395098095
11,27,676.99011,0.4748180885537604
11,28,328.85970199999997,0.9903845303004016
11,29,111.592196,1.800891874195217
11,30,188.047549,9.41506237605894
11,31,6401.5584,0.09147016646759015
11,32,5106.904275,0.45428426412006717
11,33,1751.142419,0.8705763363156815
11,34,698.069309,4.884703131247387
11,35,374.01697,10.387157831367919
11,36,4164.015754,4.132805427181388
11,37,56.436898,4.173981443841935
11,38,32.068115,36.11848120789139
11,39,555.721003,1.7281352752830903
11,40,1019.1750900000001,2.9681027628922916
11,41,3485.85351,0.07203546772107472
11,43,2354.948692,1.5911312474573438
12,1,41.812112,1.6522922711964418
12,2,11.03851,0.09044336599776599
12,3,522.117749,0.27271687329671684
12,4,120.071684,0.5799951302423642
12,5,138.20878,1.7526973467242821
12,6,91.544247,1.2686053390116367
12,7,412.062727,0.4898921044610764
12,8,283.492926,0.7341190552317344
12,9,1.4874349999999998,9.04939140197723
12,10,26.809065,0.051411155144724364
12,11,547.350743,0.012250188906750054
12,12,40.09183,0.016332142982747357
12,13,138.831822,0.08116709366531256
12,14,1.6363029999999998,1.6857748839915347
12,15,474.155375,0.09646629124472121
12,16,5040.269876,0.16054024246855625
12,17,2411.183705,0.2186262721943868
12,18,5152.250236,0.2338512622273962
12,19,42631.978339,0.09692256566522084
12,20,5236.710997,0.3038007563165892
12,21,46.141485,38.12881194655959
12,22,449.30127400000003,0.16721981629635885
12,23,383.908282,1.3044821106516271
12,24,892.123491,1.6165398255385701
12,25,1731.132515,0.010443807070425224
12,26,1633.854801,0.3032034191145973
12,27,379.006836,0.3469793800764058
12,28,160.614752,0.5438231010063135
12,29,61.940051000000004,0.7830738789672613
12,30,108.866657,4.476585999145725
12,31,1763.672759,0.13459602938733148
12,32,481.897201,0.7870247382906048
12,33,222.357503,2.181865416972235
12,34,639.50733,1.4446377862471098
12,35,157.70273699999998,5.108036717206754
12,36,653.1162,1.7290792281679737
12,37,38.28105,49.00338051072267
12,38,19.551386,27.443918349318047
12,39,128.288017,2.5531395266636636
12,40,570.595624,1.717720233515145
12,41,1412.811469,0.16765821427515606
12,43,1361.267232,1.8113145233631835
19,1,7207.331054,0.7730037125751265
19,2,4834.141858,0.07604952612046413
19,3,7883.043140000001,0.16808587761959146
19,4,4416.153879,0.14237574532669492
19,5,1921.513096,1.4632789393177261
19,6,783.031275,0.8823538861841757
19,7,4533.290893,0.509780344907595
19,8,1407.561317,0.6345192281950158
19,9,39.550221,7.34031276335978
19,10,81.711898,0.4778381050456079
19,11,5323.2059899999995,0.00867833080042052
19,12,11201.013861,0.007873522798419828
19,13,755.668496,0.12269504880880995
19,14,18.359961,0.47722053984755197
19,15,354.289921,0.049437020253251855
19,16,1704.638259,0.16044326475485962
19,17,3044.262012,0.24174257278088715
19,18,2873.852196,0.24753610588955982
19,19,91617.251737,0.09538069008646015
19,20,8926.156186,0.3041103695628299
19,21,206.228217,58.35504034348511
19,22,4075.733705,0.13601047348111767
19,23,1731.408124,0.9218100778069354
19,24,4537.082857,1.5388030331490152
19,25,42072.997203,0.009728425776873694
19,26,12083.432424,0.17804845303945566
19,27,2979.897997,0.3415009894716205
19,28,973.049005,0.7382395196015847
19,29,562.751316,0.5037447118115669
19,30,433.944265,6.269351004097266
19,31,10192.853071,0.1294807483053927
19,32,13763.163105,0.4307501345999634
