ORIG_CFS_AREA,Commodity_SCTG,UnitCost
01-142,1,1322.5958718946908
01-142,2,116.92895582738355
01-142,3,351.680393708856
01-142,4,353.99004898277775
01-142,5,2393.854584817091
01-142,6,520.0083562093411
01-142,7,758.2397326322615
01-142,8,2544.333838088375
01-142,9,335402.68976464565
01-142,10,25.32829387329251
01-142,11,55.64264541856445
01-142,12,29.548087710231435
01-142,13,127.48231495181211
01-142,14,6014.696760774635
01-142,15,67.699129957338
01-142,17,524.8790154771795
01-142,18,532.6006975837266
01-142,19,196.78522015383655
01-142,20,1467.413673939595
01-142,21,99758.09212789612
01-142,22,836.1146576892655
01-142,23,1243.9534298850335
01-142,24,3776.811695893558
01-142,25,17.99054080480844
01-142,26,369.88526080239734
01-142,27,1122.7881405359278
01-142,28,2201.9464336599567
01-142,29,11094.491022686027
01-142,30,16135.135954842888
01-142,31,140.75058172739278
01-142,32,1161.8146155087836
01-142,33,1624.188452102432
01-142,34,14216.465000787255
01-142,35,16149.266249410217
01-142,36,6434.831444967869
01-142,37,843.1568240655181
01-142,38,137591.79629862268
01-142,39,1538.2530022607202
01-142,40,3279.215193832621
01-142,41,103.1013162544402
01-142,43,2879.644712609274
01-380,1,3971.5833964569224
01-380,2,281.82922193775187
01-380,3,197.37167053321144
01-380,4,2369.6517883208626
01-380,5,5940.426532090056
01-380,6,1830.1829432986633
01-380,7,642.987158405661
01-380,8,2302.647391975948
01-380,9,22870.0778859319
01-380,10,297.8325003924852
01-380,11,7.846763036146509
01-380,12,14.31122634841071
01-380,13,115.38383756012747
01-380,16,322.5699099124139
01-380,17,405.4631227264994
01-380,18,461.1710263568413
01-380,19,169.02696796363415
01-380,20,910.3240750558929
01-380,21,282584.69933676126
01-380,22,461.6135800253628
01-380,23,2369.359026592714
01-380,24,3370.32804325343
01-380,25,13.33354232123644
01-380,26,620.383843381429
01-380,27,1048.649041636822
01-380,28,2092.8976310966023
01-380,29,4219.238379500218
01-380,30,3580.017960894171
01-380,31,216.36932478584947
01-380,32,1010.909151332624
01-380,33,3647.272753048516
01-380,34,3684.325918608736
01-380,35,11115.277467911455
01-380,36,1996.648534100901
01-380,37,48892.63240788945
01-380,38,52250.65115283961
01-380,39,3386.3116373276753
01-380,40,2863.3405492173497
01-380,41,135.15146591337205
01-380,43,3946.434830369202
01-99999,1,1457.1506258821723
01-99999,2,152.23362435644773
01-99999,3,313.475628045005
01-99999,4,374.7134106114137
01-99999,5,2341.149534473703
01-99999,6,1143.6045149478844
01-99999,7,1297.5332129422384
01-99999,8,1361.25734095173
01-99999,9,12331.248978177762
01-99999,10,1224.9849386304252
01-99999,11,16.780410956220802
01-99999,12,10.36453550331113
01-99999,13,125.25781765120495
01-99999,14,187.0157713153828
01-99999,15,200.9121698068252
01-99999,16,322.569921099453
01-99999,17,494.3038462003351
01-99999,18,492.85800712044403
01-99999,19,170.44516747987169
01-99999,20,422.5687721503152
01-99999,21,374454.5279969509
01-99999,22,305.39197957694864
01-99999,23,2713.812757158132
01-99999,24,2392.7205968464727
01-99999,25,15.418714354599803
01-99999,26,419.8042048294831
01-99999,27,704.3095508020459
01-99999,28,1629.308245526474
01-99999,29,1666.1053068281008
01-99999,30,7535.32846619713
01-99999,31,296.2615401548165
01-99999,32,971.4811018689697
01-99999,33,2827.7061237648645
01-99999,34,9132.349211304245
01-99999,35,19443.38803701653
01-99999,36,6826.045597436132
01-99999,37,3466.8378465098112
01-99999,38,45451.63054830915
01-99999,39,4244.2067370515615
01-99999,40,2442.354537784426
01-99999,41,114.05664744352195
01-99999,43,2708.694922249163
02-99999,1,576.9397339719869
02-99999,2,100.24421652707917
02-99999,3,1180.0116232101623
02-99999,4,826.3652507753693
02-99999,5,4939.739025990383
02-99999,6,3883.7787515235846
02-99999,7,1835.5453009842279
02-99999,8,2999.5843863919877
02-99999,9,118889.41971302952
02-99999,10,354.21712184535596
02-99999,11,6.316689668675713
02-99999,12,13.725467738102331
02-99999,13,168.28210898455583
02-99999,14,106026.91933959328
02-99999,15,50.825565465024894
02-99999,16,315.5199321002842
02-99999,17,526.0491799940119
02-99999,18,571.3256008181488
02-99999,19,451.9459950277763
02-99999,20,1215.679041782998
02-99999,21,73428.09270922215
02-99999,22,818.8715690089981
02-99999,23,1492.066329422589
02-99999,24,6524.256624096261
02-99999,25,21.44952089280639
02-99999,26,939.4451750604195
02-99999,27,913.8355765092531
02-99999,28,3425.0522880102612
02-99999,29,11414.416863413042
02-99999,30,14837.680693902581
02-99999,31,153.0037515275875
02-99999,32,3483.44354395593
02-99999,33,2896.6681053119783
02-99999,34,23008.996384446797
02-99999,35,9704.783879341698
02-99999,36,6854.786369788099
02-99999,37,317203.90522218356
02-99999,38,29747.428817602333
02-99999,39,6125.157944191258
02-99999,40,16972.09832232392
02-99999,41,0.0077402655033745925
02-99999,43,2872.6914119796083
04-38060,1,4346.689954131093
04-38060,2,202.0429632130686
04-38060,3,711.8595700044907
04-38060,4,835.9445047530232
04-38060,5,2811.3283228691917
04-38060,6,1654.9979786393976
04-38060,7,1339.6314822438917
04-38060,8,2333.3642346506354
04-38060,9,22869.91413973241
04-38060,10,315.4003053029512
04-38060,11,15.391370253233982
04-38060,12,12.70314828983607
04-38060,13,84.14507694617716
04-38060,14,3243.4156900969374
04-38060,15,1876.1957227289809
04-38060,17,586.0263094945644
04-38060,18,723.1197551996864
04-38060,19,213.635798209666
04-38060,20,4266.67507012641
04-38060,21,88597.73265610337
04-38060,22,816.5806332983599
04-38060,23,5458.570934983897
04-38060,24,3260.4573691703463
04-38060,25,706.7137663773675
04-38060,26,1134.8041272824994
04-38060,27,3149.3802418902983
04-38060,28,1657.131321116493
04-38060,29,10042.454286059947
04-38060,30,14031.668737257438
04-38060,31,118.44312020695037
04-38060,32,1075.805424455785
04-38060,33,4336.334953304861
04-38060,34,12340.91299280959
04-38060,35,19475.791944512017
04-38060,36,10926.514603648655
04-38060,37,72585.71638183172
04-38060,38,76333.2375982896
04-38060,39,5613.298505034936
04-38060,40,7743.622558023462
04-38060,41,58.04621509983941
04-38060,43,2550.1027413309707
04-536,1,1535.9112774752589
04-536,2,256.17602655615156
04-536,3,712.7958533805022
04-536,4,570.0686511401381
04-536,5,7960.743249857723
04-536,6,2894.2971096826273
04-536,7,990.9736313778045
04-536,8,1589.9798892684616
04-536,9,133328.9235356034
04-536,10,286.15331314277034
04-536,11,13.998000946159213
04-536,12,10.797551559701004
04-536,13,271.7335053228722
04-536,14,1875.8526292803958
04-536,17,423.6427269742131
04-536,18,364.47609248010355
04-536,19,213.75536601995975
04-536,20,152.63760130989309
04-536,21,42784.3545481762
04-536,23,3491.6217493203762
04-536,24,3862.355254783698
04-536,25,970.5884655473989
04-536,26,1338.1203272128676
04-536,27,575.1796199601147
04-536,28,3401.545661355071
04-536,29,4486.611073346633
04-536,30,8217.841646849849
