dms_dest,SCTG_Code,tons_2030,value_density_2030
11,1,1397.67589,0.7042492297695713
11,2,256.742992,0.08649478931054913
11,3,247.13573,0.9709041808725918
11,4,1042.567607,0.35125026477059923
11,5,338.932978,1.4618915926204148
11,6,464.82904299999996,0.5318620570789077
11,7,2475.965999,0.5915819716795715
11,8,518.302276,0.8629065088265211
11,9,9.228104,6.454876917295254
11,10,52.075199,0.2411572829515256
11,11,7101.251342,0.0053773751499472
11,12,16724.080542,0.005581713581536995
11,13,1620.215035,0.020610985442435427
11,14,22.929703,0.24772497053276266
11,15,7133.880114,0.021966347905464676
11,17,4434.010423,0.26202323521240856
11,18,1565.2205649999999,0.25491839771476554
11,19,22612.009767,0.09687931555279165
11,20,1724.149297,0.32872335359018506
11,21,257.70525,16.691921563491626
11,22,307.456592,0.20622508070992993
11,23,1154.166403,0.7407502685728412
11,24,1664.63572,1.3423919054194031
11,25,5552.417317,0.012846939436919128
11,26,3281.087548,0.2088518160442575
11,27,587.6825690000001,0.48643902436384834
11,28,282.184743,0.9944265377947806
11,29,107.002922,1.7360256900274182
11,30,150.532975,9.34115021310115
11,31,5491.181726,0.09552463917126607
11,32,4903.79437,0.4551046839674071
11,33,1572.678322,0.8552651872186231
11,34,586.734133,4.937247663074001
11,35,294.469044,10.529469595113026
11,36,3603.095595,4.258051489749608
11,37,50.339646,3.5121766450244802
11,38,25.965405,35.88605565751815
11,39,461.193961,1.7520633092157945
11,40,741.965001,2.9372713538546003
11,41,3207.121452,0.06901613169715408
11,43,1926.496467,1.5922067058221083
12,1,30.561836,1.6819720353188206
12,2,10.479514,0.09041774265485976
12,3,483.574311,0.263326399073337
12,4,100.415509,0.5701171320059732
12,5,122.064174,1.8112527103980567
12,6,74.961955,1.2575745523179056
12,7,359.064074,0.47831891140409666
12,8,236.601934,0.7299393419159457
12,9,1.4790210000000001,8.252609665447615
12,10,24.697301,0.04696602272450743
12,11,504.207391,0.012348740044550438
12,12,36.452177,0.016094210230571414
12,13,126.556573,0.08487928556662165
12,14,1.640478,1.7031221997490975
12,15,816.690637,0.09646664652529865
12,16,4675.494711,0.1605240356136508
12,17,2627.164294,0.21886014887350624
12,18,5334.152072,0.23379798132234428
12,19,37371.184541,0.09690094836376034
12,20,3497.985844,0.3049016857313503
12,21,32.063055,37.42433757481937
12,22,332.473912,0.16846863160800418
12,23,283.585845,1.3005112173352658
12,24,674.7874800000001,1.6076401832470275
12,25,1387.09075,0.011574229732265174
12,26,1348.788109,0.29776771741987534
12,27,328.244453,0.34882860305334695
12,28,137.079825,0.5489715062008579
12,29,59.439339000000004,0.835372042074694
12,30,87.534533,4.547235283702262
12,31,1507.4557510000002,0.13771269164105632
12,32,443.38162600000004,0.783062290226704
12,33,199.241465,2.18449903738662
12,34,537.999221,1.4524956932976674
12,35,129.92766,5.076770931609174
12,36,559.747123,1.7019439901614288
12,37,32.910797,44.7690509287879
12,38,15.22319,27.708508367825665
12,39,106.210649,2.576191997470988
12,40,418.32640200000003,1.6798925997503737
12,41,1301.565942,0.14670799330119536
12,43,1113.602383,1.8074242514439736
19,1,5378.677231000001,0.7668485238764087
19,2,4774.520986,0.07600764653964387
19,3,7499.550211,0.16549088926421215
19,4,3714.543501,0.13901565491452297
19,5,1700.3154619999998,1.4283551892442887
19,6,645.797593,0.858055043881218
19,7,4005.456188,0.5168366445255448
19,8,1175.011765,0.6331847847497935
19,9,38.407757000000004,7.272344177765965
19,10,75.27541,0.45505452577408745
19,11,4903.630249,0.00880689118205984
19,12,10184.151394,0.008062081937270933
19,13,689.033329,0.11996776791620191
19,14,19.267922,0.4775274157742595
19,15,822.033842,0.04822646279810947
19,16,1581.269858,0.1604252868140107
