Commodity_SCTG,UnitCost
00,654.3882982279371
01,2303.9762890028815
02,151.90521315292648
03,787.3516374997821
04,404.3833775124933
05,3874.3182953789724
06,1552.6980544120781
07,1149.0436172913578
08,2043.0485173482052
09,17191.5510730751
10,500.19381243214195
11,22.060904617031397
12,12.151972421090605
13,112.72492827155547
14,359.9551831810811
15,31.60692387277928
16,433.4471684974335
17,537.878976958248
18,523.5098959040063
19,486.28259980403124
20,650.7771892266281
21,56566.65627603089
22,338.20019894525115
23,3371.0388014700616
24,2887.799473269792
25,197.24584005654916
26,695.5012575998951
27,930.5063826042677
28,1886.0512944350396
29,4757.425060578688
30,13509.758233576647
31,214.4207967072447
32,1379.1510228184873
33,3091.8993245057145
34,8767.91601686554
35,18412.90519484491
36,7166.404100168984
37,31345.030371697205
38,48701.37610649282
39,6595.202093582661
40,7048.794129837232
41,281.44153731895113
43,3571.288975457221
