ORIG_CFS_AREA,DEST_CFS_AREA,orig_FAFID,dest_FAFID,Distance
01-380,12-422,12,123,446.3333333
01-380,12-45300,12,124,437
01-380,12-99999,12,129,120.1697217
01-380,13-122,12,131,325.8390805
01-380,13-496,12,132,464.7
01-380,13-99999,12,139,309.6235955
01-380,16-99999,12,160,1887.125
01-380,17-176,12,171,861.6785714
01-380,17-476,12,172,614.25
01-380,17-99999,12,179,655.2758621
01-380,18-176,12,181,751.7142857
01-380,18-258,12,183,781.5
01-380,18-294,12,182,663.8666667
01-380,18-99999,12,189,689.7727273
01-380,19-99999,12,190,874
01-380,20-312,12,201,762.8181818
01-380,20-556,12,202,820
01-380,20-99999,12,209,845.6666667
01-380,21-178,12,211,657
01-380,21-350,12,212,570.6428571
01-380,21-99999,12,219,522.375
01-380,22-12940,12,221,196.7636364
01-380,22-324,12,222,314.4642857
01-380,22-406,12,223,145.1458886
01-380,22-99999,12,229,272.5280374
01-380,23-99999,12,230,1433.25
01-380,24-12580,12,241,898.6333333
01-380,24-47900,12,242,887.6923077
01-380,24-99999,12,249,828.5
01-380,25-148,12,251,1285.763158
01-380,25-99999,12,259,1296.4
01-380,26-220,12,261,912
01-380,26-266,12,262,868.8421053
01-380,26-99999,12,269,909.3225806
01-380,27-378,12,271,1075.947368
01-380,27-99999,12,279,1234.833333
01-380,28-99999,12,280,88.80509042
01-380,29-312,12,291,780.8235294
01-380,29-476,12,292,643.5652174
01-380,29-99999,12,299,612.9473684
01-380,30-99999,12,300,1726.25
01-380,31-420,12,311,907.5
01-380,31-99999,12,319,955.0833333
01-380,32-332,12,321,1630.571429
01-380,32-99999,12,329,1956
01-380,33-148,12,331,1289
01-380,34-408,12,341,1095.096154
01-380,34-428,12,342,1047.823529
01-380,35-99999,12,350,1190.153846
01-380,36-104,12,361,1205
01-380,36-160,12,362,1053.916667
01-380,36-408,12,363,1123.080645
01-380,36-464,12,364,1098.625
01-380,36-99999,12,369,1166.565217
01-380,37-172,12,371,540.7755102
01-380,37-268,12,372,634.6
01-380,37-450,12,373,676.2666667
01-380,37-99999,12,379,626.5
01-380,38-99999,12,380,1419
01-380,39-178,12,391,689.2307692
01-380,39-184,12,392,873.2571429
01-380,39-198,12,393,758.2608696
01-380,39-212,12,394,748.8181818
01-380,39-99999,12,399,822.9666667
01-380,40-416,12,401,731.125
01-380,40-538,12,402,633.5
01-380,40-99999,12,409,667.375
01-380,41-440,12,411,2122.375
01-380,41-99999,12,419,2007.2
01-380,42-408,12,423,1034.333333
01-380,42-428,12,421,1005.029412
01-380,42-430,12,422,880.7941176
01-380,42-99999,12,429,968.84375
01-380,44-148,12,441,1258.75
01-380,45-16700,12,451,530.5882353
01-380,45-273,12,452,456.047619
01-380,45-99999,12,459,514.9545455
01-380,46-99999,12,460,1158.75
01-380,47-314,12,473,464.1
01-380,47-368,12,471,364.1458333
01-380,47-400,12,472,410.6
01-380,47-99999,12,479,405.5833333
01-380,48-12420,12,481,602.5263158
01-380,48-13140,12,482,363.0454545
01-380,48-204,12,483,618.1666667
01-380,48-206,12,484,592.2804878
01-380,48-238,12,485,1142.2
01-380,48-288,12,486,461.3913043
01-380,48-29700,12,487,794.5
01-380,48-41700,12,488,657.4
01-380,48-99999,12,489,654.44
01-380,49-482,12,491,1609.071429
01-380,49-99999,12,499,1576.5
01-380,50-99999,12,500,1238
01-380,51-40060,12,511,800.8
01-380,51-47900,12,513,850.2962963
01-380,51-545,12,512,835.375
01-380,51-99999,12,519,721.5714286
01-380,53-440,12,532,2160
01-380,53-500,12,531,2151.176471
01-380,53-99999,12,539,2074.666667
01-380,54-99999,12,540,801.5625
01-380,55-376,12,551,928.2
01-380,55-99999,12,559,1023
01-380,56-99999,12,560,1401.666667
01-99999,01-142,19,11,77.65335306
01-99999,01-380,19,12,176.9625
01-99999,01-99999,19,19,32.91289739
01-99999,04-38060,19,41,1571.004274
01-99999,04-536,19,42,1532.063291
01-99999,04-99999,19,49,1542.705882
01-99999,05-99999,19,50,430.6006601
01-99999,06-260,19,65,2073.238095
01-99999,06-348,19,61,1924.977778
01-99999,06-41740,19,63,1885.781513
01-99999,06-472,19,62,2138.619718
01-99999,06-488,19,64,2126.087912
01-99999,06-99999,19,69,2025.802198
01-99999,08-216,19,81,1201.560694
01-99999,08-99999,19,89,1215.942029
01-99999,09-25540,19,91,1012.677419
01-99999,09-408,19,92,969.8666667
01-99999,09-99999,19,99,1023.583333
01-99999,10-428,19,101,752.627907
01-99999,10-99999,19,109,800.2352941
01-99999,11-47900,19,111,665.4166667
01-99999,12-300,19,121,395.6474359
01-99999,12-370,19,122,675.8141361
01-99999,12-422,19,123,498.6007326
01-99999,12-45300,19,124,496.3236994
01-99999,12-99999,19,129,222.8142968
01-99999,13-122,19,131,153.1807564
01-99999,13-496,19,132,324.6774194
01-99999,13-99999,19,139,167.9229535
01-99999,16-99999,19,160,1895.230769
01-99999,17-176,19,171,643.1760563
01-99999,17-476,19,172,483.84
01-99999,17-99999,19,179,518.535
01-99999,18-176,19,181,621.6571429
01-99999,18-258,19,183,547.05
01-99999,18-294,19,182,439.4558824
01-99999,18-99999,19,189,483.5217391
01-99999,19-99999,19,190,765.3103448
01-99999,20-312,19,201,690.5342466
01-99999,20-556,19,202,750.9302326
01-99999,20-99999,19,209,724.372549
01-99999,21-178,19,211,394.0909091
01-99999,21-350,19,212,351.1949153
01-99999,21-99999,19,219,308.7964912
01-99999,22-12940,19,221,397.5978261
01-99999,22-324,19,222,492.8095238
01-99999,22-406,19,223,347.2322581
01-99999,22-99999,19,229,432.2676768
01-99999,23-99999,19,230,1264.211538
01-99999,24-12580,19,241,731.0847458
01-99999,24-47900,19,242,716.2278481
01-99999,24-99999,19,249,733.9387755
01-99999,25-148,19,251,1114.743243
01-99999,25-99999,19,259,1052.666667
01-99999,26-220,19,261,682.1084906
01-99999,26-266,19,262,696.0163934
01-99999,26-99999,19,269,724.7251908
01-99999,27-378,19,271,948.2410256
01-99999,27-99999,19,279,1018.142857
01-99999,28-99999,19,280,208.8041885
01-99999,29-312,19,291,721.5223881
01-99999,29-476,19,292,454.0839161
01-99999,29-99999,19,299,518.626506
01-99999,30-99999,19,300,1717.55814
01-99999,31-420,19,311,827.9302326
01-99999,31-99999,19,319,925.5555556
01-99999,32-332,19,321,1704
01-99999,32-99999,19,329,1978.433333
01-99999,33-148,19,331,1114.233333
01-99999,33-99999,19,339,1106.25
01-99999,34-408,19,341,876.9874477
01-99999,34-428,19,342,785.7826087
01-99999,35-99999,19,350,1192.180328
01-99999,36-104,19,361,1030.238095
01-99999,36-160,19,362,814
01-99999,36-408,19,363,916.0595238
01-99999,36-464,19,364,910.3225806
01-99999,36-99999,19,369,957.3295455
01-99999,37-172,19,371,386.8640351
01-99999,37-268,19,372,453.1352941
01-99999,37-450,19,373,534.6756757
01-99999,37-99999,19,379,481.0584416
01-99999,38-99999,19,380,1299.064516
01-99999,39-178,19,391,449.0283019
01-99999,39-184,19,392,663.715847
01-99999,39-198,19,393,535.0284553
01-99999,39-212,19,394,495.9583333
01-99999,39-99999,19,399,613.2307692
01-99999,40-416,19,401,669.75
01-99999,40-538,19,402,618.9333333
01-99999,40-99999,19,409,659.7195122
01-99999,41-440,19,411,2103.485714
01-99999,41-99999,19,419,2110.564103
01-99999,42-408,19,423,870.1052632
01-99999,42-428,19,421,838.8442623
01-99999,42-430,19,422,650.2210526
01-99999,42-99999,19,429,784.6763485
01-99999,44-148,19,441,1054.171429
01-99999,45-16700,19,451,450.626506
01-99999,45-273,19,452,303.405
01-99999,45-99999,19,459,399.6139241
01-99999,46-99999,19,460,1138.542857
01-99999,47-314,19,473,253.3541667
01-99999,47-368,19,471,227.8675799
01-99999,47-400,19,472,145.0680473
01-99999,47-99999,19,479,155.824115
01-99999,48-12420,19,481,767.9741379
01-99999,48-13140,19,482,552.6521739
01-99999,48-204,19,483,832.7894737
