ORIG_CFS_AREA,Commodity_SCTG,UnitCost
05-99999,32,942.6509172865408
05-99999,33,3367.380785934318
05-99999,34,6664.272920284425
05-99999,35,11492.943638075621
05-99999,36,967.1853662127988
05-99999,37,2276.861488495563
05-99999,38,35647.13842237762
05-99999,39,5280.937436303097
05-99999,40,7534.942269547088
05-99999,41,143.1119238376728
05-99999,43,3068.3484287983724
06-348,1,2628.521631311281
06-348,2,822.2970689096992
06-348,3,1755.2852156741924
06-348,4,814.4071646960911
06-348,5,5168.421321978668
06-348,6,2461.29828725905
06-348,7,1164.6166076920636
06-348,8,2845.034431655075
06-348,9,65266.31235804869
06-348,10,970.868113594747
06-348,11,37.267013449423864
06-348,12,9.77432003734742
06-348,13,244.51221203125198
06-348,14,1185.7753819252575
06-348,15,999.9485081594241
06-348,16,315.5199375102177
06-348,17,535.4203040047582
06-348,18,457.40279591772605
06-348,19,299.2488355964461
06-348,20,669.1826562314471
06-348,21,94304.27665541664
06-348,22,907.6426651377468
06-348,23,6266.055711645973
06-348,24,4504.614149797166
06-348,25,3207.724021345239
06-348,26,883.8824708076015
06-348,27,1283.3545930021266
06-348,28,2220.1371236456366
06-348,29,5103.975859056358
06-348,30,18547.143807840963
06-348,31,230.25584370569015
06-348,32,2308.747476228488
06-348,33,2970.4636331681695
06-348,34,5627.22856332988
06-348,35,20580.64490343077
06-348,36,7203.269359595344
06-348,37,144735.37369868666
06-348,38,63758.292203191086
06-348,39,6728.30263556147
06-348,40,7025.45737264102
06-348,41,62.70315668111279
06-348,43,4309.539435239852
06-472,1,2222.1237408048887
06-472,2,271.20802901076945
06-472,3,1672.3975700489639
06-472,4,560.3582796253942
06-472,5,10890.333113988027
06-472,6,1104.5808693409613
06-472,7,1165.4305268477099
06-472,8,1906.4210007210158
06-472,9,22869.8405030518
06-472,10,60.04334766715399
06-472,11,10.25051898673473
06-472,12,15.574500515098054
06-472,13,48.85834802887895
06-472,17,634.1102502609099
06-472,18,596.8390936967642
06-472,19,534.1806269510685
06-472,20,3640.153127350447
06-472,21,215074.19757550134
06-472,22,265.40075583738087
06-472,23,2590.3678775560093
06-472,24,6105.56259372648
06-472,25,28.645403505048264
06-472,26,965.2422153572896
06-472,27,1550.295918287804
06-472,28,1807.821041576555
06-472,29,7957.810759996288
06-472,30,22763.438951241314
06-472,31,113.77288752211008
06-472,32,2188.948352739917
06-472,33,3505.0200097667994
06-472,34,1839.3268773566922
06-472,35,30653.268996058665
06-472,36,8117.024186497204
06-472,37,122131.23803137885
06-472,38,6705.894481947864
06-472,39,5497.18659576104
06-472,40,3484.5483342049138
06-472,41,3.4467253613391504
06-472,43,4049.0647525000413
06-41740,1,1197.2656402233008
06-41740,2,244.1353821187755
06-41740,3,1676.8405081185883
06-41740,4,808.8139760952289
06-41740,5,5540.823384995582
06-41740,6,3401.3395817512387
06-41740,7,902.7415396089324
06-41740,8,2338.991412306077
06-41740,9,81853.11688408104
06-41740,10,4244.546649955858
06-41740,11,4.751483923987278
06-41740,12,10.78827786422759
06-41740,13,103.2282846653629
06-41740,14,178502.06065185287
06-41740,17,566.993067705963
06-41740,18,499.68759749311874
06-41740,19,1575.43743391527
06-41740,20,6229.086893866624
06-41740,21,98842.15554745683
06-41740,22,32752.166612196143
06-41740,23,4580.08008907459
06-41740,24,5271.687836377474
06-41740,25,11.195209208524966
06-41740,26,1477.9102786105177
06-41740,27,2706.0102408269427
06-41740,28,2381.537445580831
06-41740,29,8319.422960854832
06-41740,30,18168.473749643166
06-41740,31,169.3497148566794
06-41740,32,3264.822780737762
06-41740,33,4920.020057117206
06-41740,34,22497.471251315845
06-41740,35,17825.715029709067
06-41740,36,16955.56101715408
06-41740,37,264275.65080313955
06-41740,38,169254.47318173136
06-41740,39,8196.433723583019
06-41740,40,23580.875653303836
06-41740,41,3.049425353626087
06-41740,43,5094.797129768688
06-488,1,1901.32737099234
06-488,2,370.646989540757
06-488,3,1951.0578552425675
06-488,4,448.28392322275795
06-488,5,7163.821553817863
06-488,6,2694.826976122252
06-488,7,1288.4287083923157
06-488,8,4191.9354795611125
06-488,9,139999.953128552
06-488,10,156.94252092978024
06-488,11,11.870793537104335
06-488,12,9.676823031930494
06-488,13,183.4870710127296
06-488,14,1588.572343704823
06-488,16,315.5199513212736
06-488,17,686.1241491630157
06-488,18,474.0595444099925
06-488,19,258.93982980942087
06-488,20,441.2379180746412
06-488,21,142140.79523480916
06-488,22,607.3449983858814
06-488,23,2029.4205064545476
06-488,24,5093.79028075022
06-488,25,349.8968684929755
06-488,26,1147.6912699521886
06-488,27,493.4600108366656
06-488,28,2483.5399065112
06-488,29,6935.1211056320935
06-488,30,19664.918616671817
06-488,31,298.9178507893981
06-488,32,1594.5460128986574
06-488,33,3080.3619984871507
06-488,34,17060.79449895073
06-488,35,55954.842480586725
06-488,36,8689.90446043014
06-488,37,132434.36973709744
06-488,38,142015.69385064908
06-488,39,5612.721819453814
06-488,40,4069.0078043259696
06-488,41,29.805252517048814
06-488,43,3190.7682139949497
06-260,1,6196.1998207732495
06-260,2,317.2387971810389
06-260,3,1053.4935753695856
06-260,4,289.2405694772448
06-260,5,3468.2650954707524
06-260,6,865.2135507573059
06-260,7,693.2232587603419
06-260,8,1238.295080711684
06-260,9,42000.39847781476
06-260,10,236.38107277255014
06-260,11,15.82090987196482
06-260,12,13.8231191518338
06-260,13,421.25985398793455
06-260,14,37764.464159110415
06-260,16,315.5199499408373
06-260,17,643.2863681414287
06-260,18,567.514138721284
06-260,19,538.766042784846
06-260,20,873.8388819716205
06-260,21,13938.865158235269
06-260,22,667.0731543061742
06-260,23,4074.7515103857204
06-260,24,5691.320644967943
06-260,25,21.424953008183422
06-260,26,774.7399346169325
06-260,27,2088.0016204226795
06-260,28,1133.3595436393036
06-260,29,571.8544080336451
06-260,30,17800.266382280235
06-260,31,322.22116480020964
06-260,32,1560.7722910766743
06-260,33,2739.1639590869345
06-260,34,11971.86197758261
06-260,35,23192.03904557696
06-260,36,11226.18767868897
06-260,37,55531.04805225463
06-260,38,31042.777138731875
06-260,39,5942.297315036742
06-260,40,9022.532045002983
06-260,41,39.96405307393747
06-260,43,4997.16994831204
06-99999,1,2212.3003862914106
06-99999,2,211.12871923686592
06-99999,3,1224.5831328903948
06-99999,4,277.4534060308809
06-99999,5,2062.062104052177
06-99999,6,1074.518527562726
06-99999,7,788.8537309220426
06-99999,8,2077.191100548092
06-99999,9,37116.102548291245
06-99999,10,392.18326329015156
06-99999,11,6.157797076856652
06-99999,12,15.477696437952181
06-99999,13,107.34079883818895
06-99999,14,174670.52063572995
06-99999,16,315.51993967181795
06-99999,17,625.2824447157983
06-99999,18,646.5357921378426
06-99999,19,259.7046945662649
06-99999,20,1039.1387452389297
06-99999,21,31952.467793147356
06-99999,22,426.23417659518765
06-99999,23,1710.7988506750912
06-99999,24,4401.694678151925
06-99999,25,21.706833468651517
06-99999,26,578.5533228555278
06-99999,27,831.7268338349037
06-99999,28,1070.290060643815
06-99999,29,5065.803409475139
06-99999,30,30836.640099743498
06-99999,31,198.2286235903458
06-99999,32,1902.3784624872471
06-99999,33,2259.5064757292857
06-99999,34,6072.300798237229
06-99999,35,33947.4086467936
06-99999,36,4450.853381406626
06-99999,37,18790.847044453298
06-99999,38,78954.83200566821
06-99999,39,6120.323677523185
06-99999,40,5813.281608453685
06-99999,41,20.143868908861716
06-99999,43,4093.4673833324837
08-216,1,5844.073695487144
08-216,2,109.59919804351809
08-216,3,630.1779708858598
08-216,4,301.0703902812169
08-216,5,4795.76593356884
08-216,6,1979.8118475588276
08-216,7,1274.1457328905335
08-216,8,1386.6196233004816
08-216,9,23129.961281388452
08-216,10,301.1436971771761
08-216,11,13.650240910537747
08-216,12,8.333796244009797
08-216,13,197.60443125627097
08-216,14,1878.1643758850391
08-216,16,305.54354796048847
08-216,17,453.00665718280095
08-216,18,2320.5548034301482
08-216,19,316.2179939564468
08-216,20,585.158945252338
08-216,21,127284.87182979315
08-216,22,702.3604478423159
08-216,23,4987.163118725212
08-216,24,7053.1914501970405
08-216,25,198.67759046084444
08-216,26,1231.0777871915686
08-216,27,1414.001853533353
08-216,28,1560.3879413587022
08-216,29,2487.605330769897
08-216,30,24867.965333138804
08-216,31,336.54720558292405
08-216,32,2757.9292814552673
08-216,33,1844.8885535296852
08-216,34,10472.4449814696
08-216,35,26081.962880999483
08-216,36,7413.608435915215
08-216,37,442360.4977548678
08-216,38,62029.37559386933
08-216,39,6642.985575981883
08-216,40,9537.988725472776
08-216,41,83.07965879136158
08-216,43,3340.4280037395215
08-99999,1,3987.7891710315034
08-99999,2,134.14682412151967
08-99999,3,316.665552222646
08-99999,4,170.97791557290859
08-99999,5,4808.136493685741
08-99999,6,2367.8147662261536
08-99999,7,947.2657334392273
08-99999,8,1098.6963224593235
08-99999,9,74523.18330018882
08-99999,10,130.54284684532738
08-99999,11,8.776903967749497
08-99999,12,23.156262355336526
08-99999,13,45.12937517535552
08-99999,14,18860.374530500365
08-99999,15,36.78256732544093
08-99999,16,305.5435466285145
08-99999,17,584.4303283809655
08-99999,18,757.1833839722207
08-99999,19,163.38791280892124
08-99999,20,642.3963687743656
08-99999,21,115297.97607754955
08-99999,22,307.7084831335526
08-99999,23,2771.7478448832057
08-99999,24,6106.47286574622
08-99999,25,22.286198599018658
08-99999,26,467.0437414236225
08-99999,27,1188.6389394697944
08-99999,28,2431.3121931076794
08-99999,29,13730.164619241976
08-99999,30,2168.348754324439
08-99999,31,124.31809939110013
08-99999,32,795.3888497959096
08-99999,33,1815.6071870954088
08-99999,34,22648.2366029472
08-99999,35,14676.08899075972
08-99999,36,478.992859485978
08-99999,37,160353.99348243893
08-99999,38,138315.4736308406
08-99999,39,7366.264346668679
08-99999,40,2581.469507095381
08-99999,41,20.8761245014667
08-99999,43,7556.274211667992
09-25540,1,7277.037572823847
09-25540,2,495.3619667921346
09-25540,3,1319.7104576712945
09-25540,4,330.9206310327541
09-25540,5,9237.14429420547
09-25540,6,2285.075206465204
09-25540,7,1092.608042040554
09-25540,8,1768.100359217372
09-25540,9,55917.58563384533
09-25540,10,26.917479044730584
09-25540,11,16.753059710456924
09-25540,12,11.438737907742635
09-25540,13,63.904957467231505
09-25540,14,8395.706777881962
09-25540,17,658.5902030061392
09-25540,18,619.3186719062427
09-25540,19,452.76082121406023
09-25540,20,1078.685700039408
09-25540,21,193135.23232126114
09-25540,22,349.7942502003983
09-25540,23,4871.008083932762
09-25540,24,7303.471626453354
09-25540,25,10.960565091938038
09-25540,26,1464.97867729782
09-25540,27,2369.7831896234275
09-25540,28,2514.734214153824
09-25540,29,7640.424902591066
09-25540,30,30190.08781571743
09-25540,31,207.6651473840465
09-25540,32,3185.727537268464
09-25540,33,9136.632835369357
09-25540,34,34291.556990487305
09-25540,35,22011.958469099744
09-25540,36,12102.479628688656
09-25540,37,261225.2568639384
09-25540,38,191615.47787577708
09-25540,39,7507.358529171354
09-25540,40,12107.691572603426
09-25540,41,40.76377270922863
09-25540,43,3764.728537915556
09-408,1,9694.494654680357
09-408,2,967.474084950368
09-408,3,670.528088071297
09-408,4,426.1949861790702
09-408,5,4963.418095565915
09-408,6,3406.796887641954
09-408,7,1005.5235040511387
09-408,8,3442.0946948981878
09-408,9,96630.086036146
09-408,10,217.54035205333247
09-408,11,8.921463505622425
09-408,12,11.014124173911574
09-408,13,215.36046050071968
09-408,17,821.8085122723841
09-408,18,628.5611412599104
09-408,19,209.91825325570017
09-408,20,1083.0903914641235
09-408,21,20660.655788644675
09-408,22,531.8993097130549
09-408,23,7904.21392678537
09-408,24,3514.9750440347693
09-408,25,10.57331453702054
09-408,26,1195.7027640591264
09-408,27,5896.881708172084
09-408,28,611.0889897891965
09-408,29,15427.317829230173
09-408,30,10642.032132524138
09-408,31,185.10836688142248
09-408,32,1713.3470151153113
09-408,33,5442.306391294096
09-408,34,7137.826608385163
09-408,35,30214.755630918728
09-408,36,10479.677036189347
09-408,37,16513.293251284704
09-408,38,53856.45498574827
09-408,39,8397.407929371671
09-408,40,12009.119672570556
09-408,41,94.92297373429456
09-408,43,3051.996225414012
09-99999,1,2786.1242261006723
09-99999,2,335.19007436436203
09-99999,3,1261.0299199662197
09-99999,4,122.74165555235771
09-99999,5,1062.6037078237487
09-99999,6,7734.191721409399
09-99999,7,2490.9521168263523
09-99999,8,1718.1880278478516
09-99999,9,22870.100930659326
09-99999,10,26.85634899592685
09-99999,11,11.896362383028844
09-99999,12,10.476871351142977
09-99999,13,1674.2822848763624
09-99999,14,189117.08860759492
09-99999,17,557.3249050558643
09-99999,18,476.4861646697895
09-99999,19,194.75848031768686
09-99999,20,198.0534306694034
09-99999,21,1255735.4209965596
09-99999,23,2444.583755988774
09-99999,24,4336.3746774425845
09-99999,25,14.668123216440343
09-99999,26,1129.6331128077206
09-99999,27,744.5208825656435
09-99999,28,1682.5123678295597
09-99999,29,8279.098300615295
09-99999,30,22881.764211411162
09-99999,31,135.12148922733002
09-99999,32,1609.1186088957506
09-99999,33,9957.495178383788
09-99999,34,44613.33114522965
09-99999,35,28871.94310871739
09-99999,36,10153.582669725249
09-99999,37,317659.965802748
09-99999,38,84151.8676279427
09-99999,39,38269.04897197416
09-99999,40,6689.141793863311
09-99999,41,22.10615520587261
09-99999,43,3549.861911738224
10-428,1,1727.0234756918176
10-428,2,117.37189262153986
10-428,3,807.3542953174558
10-428,4,365.294361793687
10-428,5,3588.7414767345736
10-428,6,3008.011935727147
10-428,7,1414.8913721954007
10-428,8,2295.4380873596083
10-428,9,22869.865736744057
10-428,10,25.328178783206575
10-428,11,24.379170358988826
10-428,12,3.2399280955655017
10-428,13,29.152275050029417
10-428,14,625.2321604095004
10-428,17,518.1621950074217
10-428,18,1006.0822451023117
10-428,19,290.19607469445805
10-428,20,1067.7082075677913
10-428,21,199175.22157567056
10-428,22,58.98599329256264
10-428,23,3942.909048577515
10-428,24,8268.220514802548
10-428,25,12.480502399360569
10-428,26,536.5386976213879
10-428,27,663.6421784263966
10-428,28,3902.4030159243825
10-428,29,4792.683114152079
10-428,30,2719.136238603743
10-428,31,411.9618465254649
10-428,32,1401.7087100589886
10-428,33,4401.170738449901
10-428,34,22662.282815367842
10-428,35,5318.527731630231
10-428,36,16253.849594333054
10-428,37,198955.35410121508
10-428,38,191884.7754702019
10-428,39,4909.7285358282525
10-428,40,8519.36698970007
10-428,41,7.251854382273626
10-428,43,2092.9719887880174
10-99999,1,1745.401914100171
10-99999,2,129.54695552496116
10-99999,3,359.3921658426873
10-99999,4,276.4864414856123
10-99999,5,2449.60536243963
10-99999,6,1464.8393467257383
10-99999,7,844.23753870953
10-99999,8,1621.613480380026
10-99999,9,22870.220422852002
10-99999,10,25.328284521879095
10-99999,11,4.056483076097488
10-99999,12,17.63147637938174
10-99999,13,74.07713830536004
10-99999,17,667.0995176913785
10-99999,18,649.2951768313083
10-99999,19,619.2935145745031
10-99999,20,8841.487844907473
10-99999,21,36714.35696641655
10-99999,22,412.2061220075889
10-99999,23,6500.08753546943
10-99999,24,4004.253580209287
10-99999,25,10.595977990696642
10-99999,26,1112.3809842173198
10-99999,27,1125.0747658530472
10-99999,28,2210.9699211838506
10-99999,29,24718.531892348023
10-99999,30,14163.010370521888
10-99999,31,107.63503626512153
10-99999,32,541.7407649153599
10-99999,33,3948.7649937039696
10-99999,34,11325.066052934179
10-99999,35,42378.37434844687
10-99999,36,5729.752228318553
10-99999,37,9421.768889268944
10-99999,38,17375.388049220095
10-99999,39,8811.58361377826
10-99999,40,1866.4731780423788
10-99999,41,6.741610366151924
10-99999,43,3494.8648903501658
11-47900,3,10182.65015232963
11-47900,4,431.22814917842686
11-47900,5,9450.340904486551
11-47900,6,3615.7993160486863
11-47900,7,1280.0273176355986
11-47900,8,4641.701757836614
11-47900,9,22870.09891550471
11-47900,10,25.32828624728506
11-47900,11,1.1104219488843974
11-47900,12,0.6069743209669931
11-47900,13,44.58097616688513
11-47900,19,138582.27848101265
11-47900,20,5720.792044702083
11-47900,21,30829.708590711507
11-47900,23,618.0018826631702
11-47900,24,1875.2328643213186
11-47900,26,573.8563091697928
11-47900,27,2281.1108180125625
11-47900,28,1636.3739680153612
11-47900,29,12144.762897073353
11-47900,30,10078.944204594834
11-47900,31,65.16428799924932
11-47900,32,536.7351365839893
11-47900,33,2097.5549569004543
11-47900,34,8056.935531655618
11-47900,35,1408.4333277515918
11-47900,36,5662.954200847518
11-47900,37,75111.90861610825
11-47900,38,23910.604879800387
11-47900,39,6528.3757577708675
11-47900,40,7316.448461224626
11-47900,41,21.39520693562993
11-47900,43,3944.1483931832904
12-300,1,4724.103562332753
12-300,2,155.79159913150394
12-300,3,496.20850323666644
12-300,4,1651.3394760038666
12-300,5,9698.645325148023
12-300,6,6435.683080000293
12-300,7,1168.856454623113
12-300,8,1548.7756908621077
12-300,9,36536.6007915031
12-300,10,31.733668487753178
12-300,11,26.353380825730607
12-300,12,27.5660600109152
12-300,13,137.32655595142995
12-300,14,491.1590735688442
12-300,17,543.2448886437068
12-300,18,525.8141522101479
12-300,19,445.46851889130585
12-300,20,1582.2849698407317
12-300,21,23036.344909806525
12-300,22,261.1308855060701
12-300,23,3198.692483156565
12-300,24,6149.708189103546
12-300,25,12.825533087328138
12-300,26,291.7784641619489
12-300,27,653.2647640708166
12-300,28,2328.110500701499
12-300,29,4066.2985499546103
12-300,30,24252.357981514284
12-300,31,177.18944563786297
12-300,32,2146.3941083013924
12-300,33,1903.1948745910154
12-300,34,20183.58398505775
12-300,35,16788.942041828108
12-300,36,15415.109844635703
12-300,37,208111.0315815725
12-300,38,168592.5374420013
12-300,39,6941.270432267225
12-300,40,5607.928170133862
12-300,41,52.51261689874927
12-300,43,2409.842730600197
12-370,1,1920.5317432230372
12-370,2,306.13320408545366
12-370,3,322.8095028462308
12-370,4,768.9466116753666
12-370,5,6838.959197017194
12-370,6,1728.8090266145543
12-370,7,884.8794637565053
12-370,8,2017.0229950900218
12-370,9,37455.00035927225
12-370,10,558.9006998177708
12-370,11,187.0112879229802
12-370,12,13.989718121584186
12-370,13,228.33687511876047
12-370,14,60413.85458585623
12-370,17,546.74066406598
12-370,18,507.22637063050865
12-370,19,265.7993428316604
12-370,20,1412.3912173078631
12-370,21,68635.42665587798
12-370,22,382.26687771252676
12-370,23,4520.071151265093
12-370,24,5476.98977016951
12-370,25,3869.1196129448394
