Commodity_SCTG,UnitCost
1,1972.1395325915903
2,129.4288719124779
3,514.139537380309
4,344.4355262974895
5,3864.0243842786263
6,1517.881629171581
7,1012.4232671774141
8,2027.503249975811
9,17322.252428360698
10,437.77947186191466
11,19.19677963733099
12,10.49346171943588
13,97.08682059823104
14,364.54444254755487
15,32.11159652043877
16,318.4781729858019
17,537.4759236368564
18,517.267545719653
19,244.68890359419512
20,649.6673498005828
21,56128.42913859256
22,337.1916140049546
23,3125.482297504893
24,2938.3985971337665
25,27.40129096226205
26,647.9222778444303
27,934.2502145983445
28,1865.6474184873914
29,4611.341396489414
30,12731.509577642702
31,193.62390971404352
32,1362.984532847153
33,3064.17535566162
34,8665.076573229804
35,17784.46483523557
36,7162.772383187989
37,30777.841052429714
38,43841.27203296821
39,5810.015481938401
40,6583.080230085701
41,81.8789081068083
43,3516.3080128786996
