Commodity_SCTG,ORIG_CFS_AREA,Capacity,UnitCost
00,00-00000,537609.5235,386.9996599864921
00,02-99999,100385.06835,724.0225702351679
00,05-99999,118525.07295,1044.3871032437107
00,08-00000,101374.34855,422.3790693844119
00,09-00000,82.8504,9500.0
00,10-00000,512287.63639999996,187.19307062316602
00,11-47900,556.67285,42981.79963330347
00,15-00000,1559.44335,2372.19582231057
00,16-99999,977.5918499999999,7470.566985598335
00,19-99999,468.6176,2446.860723967687
00,20-00000,1982226.4911000002,5.874038033634872
00,23-99999,224952.0464,36.62885860281732
00,24-00000,7700.146800000001,76.51533344792854
00,25-00000,290819.05045,715.4009029947302
00,28-99999,16806.42295,127977.4465690214
00,30-99999,128352.71184999999,202.99585201167687
00,31-00000,17029.545299999998,66.64836200882006
00,32-00000,33213.1808,31.70731542821698
00,33-00000,783.29055,5827.756762800214
00,35-99999,360136.87799999997,164.64208727882627
00,38-99999,50067.08685,1528.7826257860258
00,41-00000,191.94299999999998,9207.318839447127
00,44-148,44522.077150000005,1193.2518876199827
00,46-99999,3134.47945,289.9804623061096
00,50-99999,281732.73105,7.427210506217822
00,54-99999,17.71595,3721.640668437199
00,56-99999,294848.009,536.1689137266651
01,01-99999,173836.6379,2895.5759429123195
01,04-536,122.714,146012.1746499992
01,06-348,7562.15165,19579.005493760495
01,06-472,531.8292,95780.70440660272
01,06-488,149.78625,486977.50627978204
01,06-99999,177525.3913,300.0035685599415
01,09-25540,105548.62475,7215.688260305827
01,12-99999,72862.94375,3384.2739437768046
01,13-122,57911.2488,3580.730764693853
01,17-476,41640.22355,1976.4725470596086
01,19-99999,272105.31725,1996.232917054472
01,20-99999,236911.85580000002,2557.4507305851766
01,21-99999,272080.297,3012.4591664202717
01,23-99999,15336.7459,8083.735813866487
01,26-220,20795.73525,2330.468166543907
01,27-378,273711.3799,1818.5427112378532
01,27-99999,826934.4299,765.6116548159221
01,28-99999,64221.630900000004,2230.309761566644
01,29-99999,278276.32025,2604.6643611243453
01,31-420,281235.2129,2263.3971117490887
01,31-99999,543470.0497,2408.3013930988295
01,36-408,44457.57815,2978.3519055682073
01,37-268,1910.3267,42823.78213108784
01,39-99999,2257.3174,49326.573967843426
01,40-416,1228.61905,9560.376261462005
01,42-428,14239.44145,1253.0930909512606
01,42-99999,255643.222,1528.576075449401
01,44-148,59019.92025,4116.418273201581
01,45-99999,7701.7886,7958.774043733167
01,46-99999,130037.42670000001,3112.369637502216
01,47-400,7971.3982000000005,2132.784471863418
01,47-99999,59785.530399999996,2765.3383267467007
01,53-500,125.8133,73188.24877814985
01,55-99999,1212.49435,41356.86059073183
02,01-380,11825.7804,1073.6723979755282
02,01-99999,2077257.25275,178.4515806644835
02,04-38060,4063154.25885,199.11412938306242
02,04-99999,61123.681749999996,234.3298831144117
02,05-99999,6293998.73625,185.7271902784774
02,06-348,1409996.4164500001,842.1438518188653
02,06-41740,136281.02525,239.26710956410273
02,06-472,613649.9519,216.11322381658286
02,06-488,861225.26145,380.6246112057771
02,06-99999,5281321.74965,180.0263211501949
02,08-216,2220267.5756,106.0995388973963
02,08-99999,14235819.05155,146.5030387747813
02,10-428,3976.14415,162.06032168124486
02,10-99999,316135.6807,149.55341325380485
02,12-370,12734.9085,605.3099399968206
02,12-99999,5559398.8138500005,176.1776454065392
02,13-122,96875.33855,1196.645768005938
02,13-99999,2023315.53705,162.07491228882716
02,15-99999,5764.9756,3848.5007291271104
02,16-99999,7876398.638,193.9876953825658
02,17-176,8039102.2168000005,161.45880369421005
02,17-476,12747751.144650001,141.37438733704437
02,17-99999,53965443.979,131.4423752440597
02,18-176,581746.411,129.06756394239275
02,18-258,4387874.689350001,157.81218000156193
02,18-294,1483064.2855,141.83760869750915
02,18-99999,20177983.35835,130.79658916002865
02,19-99999,60346471.7201,125.47471744529444
02,20-312,4368236.7963000005,141.24962875699035
02,20-556,9041524.91915,148.4650557072396
02,20-99999,45389984.42775,133.73181177142996
02,21-350,949392.9165500001,158.16896311559066
02,21-99999,4379837.159,162.0589988925659
02,22-324,4175.1993,4360.745342144505
02,22-406,1031.02565,127.56510955862251
02,22-99999,1205930.8328500001,187.81868804591116
02,23-99999,18880.1775,193.4360468803855
02,24-47900,144223.79815000002,175.25699727940494
02,24-99999,2022161.7308,131.3835871055146
02,25-148,6223.598,3406.800439231454
02,25-99999,8837.5979,2377.645457257113
02,26-220,888479.54685,129.96254906416476
02,26-266,1902725.0123,133.10053521284652
02,26-99999,2490364.703,135.80140623282836
02,27-378,7557681.41885,154.5822322552688
02,27-99999,48665203.28785,144.6853127141447
02,28-99999,986392.8207,171.36136694511526
