orig_FAFID,dest_FAFID,Distance,Travel_time,Alternative
12,89,3269.78,118.180625,Private Truck
12,91,1951.91,76.9971875,Private Truck
12,92,1872.84,74.52625,Private Truck
12,99,1964.35,77.3859375,Private Truck
12,101,1765.71,71.1784375,Private Truck
12,109,1839.37,73.4803125,Private Truck
12,111,1736.72,70.2725,Private Truck
12,122,980.44,41.80105263,Private Truck
12,123,722.01,35.00026316,Private Truck
12,124,733.12,35.29263158,Private Truck
12,129,727.84,35.15368421,Private Truck
12,131,412.27,22.34261538,Private Truck
12,132,573.73,24.82661538,Private Truck
12,139,413.63,22.36353846,Private Truck
12,160,2691.4,100.10625,Private Truck
12,171,1189.69,47.30763158,Private Truck
12,172,856.35,38.53552632,Private Truck
12,179,986.48,41.96,Private Truck
12,181,1229.76,48.36210526,Private Truck
12,182,1178.89,47.02342105,Private Truck
12,183,1268.23,49.37447368,Private Truck
12,189,1151.15,46.29342105,Private Truck
12,190,1163.01,46.60552632,Private Truck
12,201,975.77,41.67815789,Private Truck
12,202,1014.37,42.69394737,Private Truck
12,209,1175.04,46.92210526,Private Truck
12,211,1282.39,49.74710526,Private Truck
12,212,909.69,39.93921053,Private Truck
12,221,583.06,24.97015385,Private Truck
12,222,963.26,41.34894737,Private Truck
12,223,272.11,17.6055,Private Truck
12,229,810.93,37.34026316,Private Truck
12,230,2460.8,92.9,Private Truck
12,241,1740.1,70.378125,Private Truck
12,242,1757.94,70.935625,Private Truck
12,249,1788.55,71.8921875,Private Truck
12,251,2093.12,81.41,Private Truck
12,259,1991.98,78.249375,Private Truck
12,261,1421.83,60.4321875,Private Truck
12,262,1393.33,59.5415625,Private Truck
12,269,1648.69,67.5215625,Private Truck
12,271,1420.87,60.4021875,Private Truck
12,279,1594.52,65.82875,Private Truck
12,280,273.61,20.20938462,Private Truck
12,291,940.81,40.75815789,Private Truck
12,292,824.97,37.70973684,Private Truck
12,299,879.22,39.13736842,Private Truck
12,300,2284.91,87.4034375,Private Truck
12,311,1166.02,46.68473684,Private Truck
12,319,1961.46,77.295625,Private Truck
12,321,2577.01,96.5315625,Private Truck
12,329,2805.17,103.6615625,Private Truck
12,331,2085.28,81.165,Private Truck
12,339,2179.41,84.1065625,Private Truck
12,341,1807.46,72.483125,Private Truck
12,342,1793.04,72.0325,Private Truck
12,350,1394.97,59.5928125,Private Truck
12,361,1918.93,75.9665625,Private Truck
12,362,1534.9,63.965625,Private Truck
12,363,1859.45,74.1078125,Private Truck
12,364,1983,77.96875,Private Truck
12,371,855.04,38.50105263,Private Truck
12,372,1042.63,43.43763158,Private Truck
12,373,1153.29,46.34973684,Private Truck
12,379,1117.55,45.40921053,Private Truck
12,380,1897.35,75.2921875,Private Truck
12,391,1081.44,44.45894737,Private Truck
12,392,1341.69,57.9278125,Private Truck
12,393,1186.58,47.22578947,Private Truck
12,394,1138.52,45.96105263,Private Truck
12,399,1213.32,47.92947368,Private Truck
12,401,864.5,38.75,Private Truck
12,402,832,37.89473684,Private Truck
12,409,898.52,39.64526316,Private Truck
12,419,3295.35,118.9796875,Private Truck
12,421,1713.8,69.55625,Private Truck
12,422,1421.77,60.4303125,Private Truck
12,423,1715.19,69.5996875,Private Truck
12,429,1577.96,65.31125,Private Truck
12,441,2052.89,80.1528125,Private Truck
12,452,627.9,25.66,Private Truck
12,459,819.43,37.56394737,Private Truck
12,460,1548.99,64.4059375,Private Truck
12,471,503.15,23.74076923,Private Truck
12,472,667.97,33.57815789,Private Truck
12,473,964.99,41.39447368,Private Truck
12,479,660.53,33.38236842,Private Truck
12,481,916.99,40.13131579,Private Truck
12,482,784.67,36.64921053,Private Truck
12,483,1143.69,46.09710526,Private Truck
12,484,743.72,35.57157895,Private Truck
12,485,1336.98,57.780625,Private Truck
12,486,858.75,38.59868421,Private Truck
