Commodity_SCTG,FAF,value_fraction
00,19,1.9348385297581172e-05
00,20,0.014062345019760005
00,41,0.00029494517060153644
00,50,0.027796074352750975
00,65,0.00022797926981702314
00,61,0.0011771486015607613
00,63,0.012694881970806217
00,64,0.0013099295910356896
00,69,0.00011550289973464995
00,81,0.0022900995309663207
00,89,0.00026669466990249664
00,91,0.0006750793223423298
00,92,0.0017428299051531059
00,99,0.0014765040871976198
00,101,8.973616162747429e-05
00,109,4.0789553113482694e-05
00,111,0.00023302328655165974
00,121,0.0007816566927254191
00,122,7.1044742464941525e-06
00,124,4.0557865648104675e-06
00,129,0.0014899335275791632
00,132,0.02524458342653172
00,151,0.0013616748394015392
00,159,0.0010019596257394316
00,160,2.090112191699509e-05
00,171,5.753459422729899e-05
00,183,0.00013121608238592116
00,190,0.0012723804030242668
00,202,0.004075211471561831
00,223,1.1841537982665928e-06
00,230,0.0034798034222019406
00,241,2.0794009823424613e-05
00,242,0.0002597926979166555
00,249,3.212938186307896e-05
00,251,0.004700047178146582
00,259,0.007210361936998372
00,262,0.0016946324832366336
00,271,3.5180132843047505e-06
00,279,0.00044746184739412554
00,280,0.6428476295312749
00,300,0.0004381259908097412
00,311,4.322161363673064e-07
00,319,1.0401295974087337e-05
00,321,5.6256635114255565e-05
00,331,0.0009130430121712779
00,341,0.0012997416819682801
00,350,0.010650268137740723
00,361,8.932670157798781e-05
00,363,0.001865636252855807
00,364,0.02158380144342401
00,369,0.0011083697493499524
00,371,0.00025029721979249477
00,372,1.329990113270284e-06
00,379,0.0011873811556185956
00,380,0.00014843044910235848
00,391,0.0004378893095644563
00,392,0.00038979867080994406
00,393,7.758291608942626e-05
00,394,1.7434571478317025e-06
00,411,9.861309880928294e-05
00,419,0.0002578460507420758
00,421,0.000127421916063056
00,422,5.1367156430867505e-05
00,429,0.0013912425317839086
00,441,0.004436373984310708
00,460,0.0003887606224525444
00,473,5.262905770073746e-06
00,483,1.1846621471193839e-06
00,484,0.0003600583491377416
00,486,0.06660502982478293
00,488,0.003978973139369799
00,489,0.0004609917315284059
00,500,0.00180771363893946
00,511,8.927864765996221e-05
00,513,0.0025462758650470936
00,512,0.05403386731583052
00,531,0.01448622426484441
00,539,4.013444095660329e-06
00,551,0.0012033456121175142
00,559,1.3878820767410952e-06
00,560,0.04649643259063708
01,11,0.0017077016856062916
01,12,7.824672922951649e-05
01,19,0.005955810177846494
01,20,9.782077759745463e-05
01,41,0.0014315868453851131
01,42,0.00030683954924904457
01,49,0.00011995443427707937
01,50,0.002620821369243074
01,65,0.00012562205924151305
01,61,0.005197189062801619
01,63,0.0019336383564112108
01,62,2.809757346247108e-05
01,64,0.007000983481117534
01,69,0.008831072818603205
01,81,0.005390766065148735
01,89,0.015451898271638294
01,91,0.018457050446245973
01,92,0.02502131513000511
01,99,4.063789725208856e-05
01,101,9.842984259890282e-05
01,111,0.00036075619788579423
01,121,0.00019136041999228228
01,122,0.0013030273254218219
01,123,0.0030658770573677645
01,124,8.113648869121564e-05
01,129,0.0019496462444717842
01,131,0.004974416582298063
01,132,3.6479677165454015e-05
01,139,0.0030085597068176396
01,159,6.134402194528951e-06
01,160,0.0022345642590543458
01,171,0.008509467185628306
01,172,0.004450902546639901
01,179,0.035873801297986174
01,183,0.0003618063005778442
01,182,0.0007382656223172616
01,189,0.000578596791212897
01,190,0.06569981047624575
01,201,0.0003139560634694622
01,202,0.0012199849220544017
