dms_orig,SCTG_Code,tons_2040,value_density_2040
11,1,1277.581119,0.6612979359473454
11,2,54.756933,0.058464477913691776
11,3,467.54549,0.175840196854428
11,4,782.278216,0.17699502449138887
11,5,382.038305,1.1969272924085455
11,6,488.503798,0.2600041781046705
11,7,3575.89291,0.37911986631613076
11,8,288.121276,1.2721669190441875
11,9,0.080007,167.70134488232281
11,10,10.405083,0.012664146936646255
11,11,416.09639200000004,0.027821322709282226
11,12,22993.085971,0.014774043855115718
11,13,1607.23622,0.06374115747590606
11,14,88.78752399999999,3.007348380387317
11,15,966.751789,0.033849564978669
11,17,4151.257436,0.2624395077385897
11,18,1333.1669940000002,0.2663003487918633
11,19,7164.775413,0.09839261007691827
11,20,154.318087,0.7337068369697974
11,21,243.680003,49.87904606394806
11,22,262.715673,0.41805732884463276
11,23,1302.522273,0.6219767149425167
11,24,815.944293,1.888405847946779
11,25,6973.359853999999,0.008995270402404219
11,26,6298.217393,0.18494263040119868
11,27,298.42114100000003,0.561394070267964
11,28,229.992118,1.1009732168299784
11,29,20.492878,5.5472455113430135
11,30,195.290432,8.067567977421444
11,31,15289.597603,0.07037529086369639
11,32,1449.105393,0.5809073077543918
11,33,3387.943439,0.812094226051216
11,34,411.480284,7.108232500393628
11,35,220.713826,8.074633124705109
11,36,4397.794985,3.2174157224839344
11,37,371.00186,0.42157841203275903
11,38,16.167117,68.79589814931134
11,39,1507.459352,0.7691265011303601
11,40,1440.278233,1.6396075969163104
11,41,2082.023138,0.0515506581272201
11,43,2775.9822209999998,1.439822356304637
12,1,37.220634,1.9857916982284611
12,2,68.03286,0.14091461096887592
12,3,1150.426778,0.09868583526660572
12,4,137.52985,1.1848258941604313
12,5,71.353459,2.970213266045028
12,6,45.742643,0.9150914716493317
12,7,143.398783,0.3214935792028305
12,8,155.547952,1.151323695987974
12,9,0.133657,11.43503894296595
12,10,12.841248,0.1489162501962426
12,11,983.552194,0.0039233815180732545
12,12,1676.212675,0.007155613174205355
12,13,152.990812,0.05769191878006374
12,16,172.551854,0.16128495495620696
12,17,2673.172896,0.2027315613632497
12,18,5406.415836,0.23058551317842066
12,19,54866.430965,0.08451348398181707
12,20,5024.499388,0.45516203752794643
12,21,2.479801,141.29234966838064
12,22,67.966471,0.2308067900126814
12,23,403.037953,1.184679513296357
12,24,410.020839,1.6851640216267152
12,25,1746.959168,0.006666771160618219
12,26,1809.502296,0.31019192169071447
12,27,189.772577,0.524324520818411
12,28,27.272999000000002,1.0464488155483012
12,29,16.002668,2.109619189750109
12,30,338.115683,1.7900089804470856
12,31,2657.085724,0.10818466239292474
12,32,7472.9462920000005,0.505454575666312
12,33,335.76259,1.8236363765242578
12,34,567.698226,1.842162959304368
12,35,67.677033,5.557638733955728
12,36,553.430963,0.9983242670504505
12,37,15.1747,24.446316203944722
12,38,8.058016,26.125325576419804
12,39,342.199963,1.6931558186638376
12,40,315.968678,1.431670274608675
12,41,563.815172,0.06757573295668602
12,43,582.107295,1.973217415184601
19,1,5923.307078,0.7285753129410861
19,2,2922.792582,0.07611681217822387
