SCTG,CFS_CODE,median_weight_ton,lower bound,upper bound
1,C,21.090899999999998,0.0579,21.6319
1,S,21.090899999999998,0.0579,21.6319
2,E,1113.1675,16.515,31858.960875
10,A,24.3584,0.127525,33.14184999999997
10,M,24.3584,0.127525,33.14184999999997
10,S,24.3584,0.127525,33.14184999999997
11,A,109.1957,0.021300000000000013,121.7745
11,S,109.1957,0.021300000000000013,121.7745
12,A,33.7362,9.103,1068.3380999999908
12,E,33.7362,9.103,1068.3380999999908
12,M,33.7362,9.103,1068.3380999999908
17,E,102.4401,13.3947375,10947.6311749999
17,M,102.4401,13.3947375,10947.6311749999
17,S,102.4401,13.3947375,10947.6311749999
18,A,3293.8406000000014,3.2886375,34118.638537499945
18,E,3293.8406000000014,3.2886375,34118.638537499945
18,S,3293.8406000000014,3.2886375,34118.638537499945
22,E,102.9669,0.1085375,108.17137499999998
22,S,102.9669,0.1085375,108.17137499999998
25,M,43.584700000000005,2.4341000000000004,154.59909999999988
25,S,43.584700000000005,2.4341000000000004,154.59909999999988
1,A,1.3562,0.44461249999999997,1.38225
1,E,0.578,0.24112499999999998,1.394375
1,M,21.5377,21.0125875,21.800725
2,A,1559.0742000000002,18.211450000000003,26123.520600000003
2,C,38.3435,16.9135,107.308
2,M,105.721,30.01525,12025.09425
2,S,31023.1558,0.516575,61538.511074999995
3,A,30.928600000000003,0.089,1530.2905999999991
3,C,21.076500000000003,0.0027750000000000006,41.020949999999964
3,E,23.7727,0.1807250000000001,29.923399999999997
3,M,97.0899,0.0005,120.64694999999999
3,S,51.709800000000065,0.0005,108.408425
4,A,30.9113,0.3592875,220.69342499999914
4,C,27.881400000000003,0.007100000000000001,95.9126
4,E,20.846400000000003,0.0157,29.8058
4,M,104.0345,0.0830625,113.00575
4,S,22.043800000000005,0.013600000000000003,27.862
5,A,27.4129,0.20355,69.34479999999995
5,C,18.9276,0.029750000000000006,22.596525
5,E,27.441800000000004,0.11385,60.35931250000001
5,M,21.9844,0.0230125,22.794075
5,S,29.0039,0.053325000000000004,30.730524999999997
6,A,25.624000000000002,0.001,26.176325
6,C,19.089299999999998,0.1257,23.241799999999998
6,E,22.2482,0.0005,23.265349999999994
6,M,74.7433,1.7415250000000009,95.91810000000001
6,S,35.2449,3.6535375,37.658887500000006
7,A,24.1,0.0005,29.401275000000002
7,C,21.8622,0.001,103.08199999999998
7,E,20.8925,0.0005,24.8409
7,M,71.68300000000002,0.01795,109.52099999999999
7,S,21.7725,0.0015,28.451999999999998
8,A,22.747,0.004,27.348
8,C,22.2471,0.038325000000000005,90.1575625
8,E,24.4468,0.01445,37.75572499999999
8,M,20.4095,0.0015,85.018125
8,S,21.364700000000003,0.050499999999999996,25.324049999999993
9,A,0.0015,0.0005,9.068700000000023
9,C,0.9240000000000002,0.0005,13.09015
9,E,4.694000000000001,0.0005,14.784812500000003
9,M,0.003,0.001,0.008774999999999984
9,S,12.47,0.08975,13.132725
10,C,24.6927,0.08888750000000001,32.89517499999999
10,E,22.1204,20.1853875,27.238287499999974
11,C,109.76559999999999,1.6479625000000004,122.888325
11,E,22.3151,10.439275000000002,22.844849999999997
11,M,107.6862,14.9649375,109.8503875
12,C,35.69200000000002,14.267600000000002,2672.714099999991
12,S,21.3892,21.011750000000003,23.215675
13,A,27.099800000000002,0.0235,147.80534999999995
13,C,35.2443,0.003400000000000002,1422.389
13,E,25.0655,0.002125,92.346875
13,M,103.5437,0.25165000000000004,109.08815
13,S,26.102,0.21361250000000012,60.997237499999976
14,A,41.4966,0.151225,11744.36789999977
14,C,636.0017,0.007900000000000003,31532.26680000001
14,E,25.5618,0.06742500000000003,27.737687500000003
14,M,22.689000000000004,15.1341375,10765.90535
14,S,19.4617,0.0026000000000000003,21.28555
15,A,15611.934799999999,2.3994,16574.689824999998
15,C,14386.4714,20.2681,16071.1529625
15,E,12031.015300000001,4.6754625,15749.233899999997
15,M,17567.651,3597.074125,18192.13575
15,S,11193.764900000004,0.150325,19544.304024999998
17,A,102.0929,99.6213,103.06375
17,C,101.4385,13.350275,106.30103749999999
18,C,97.6082,3.1028000000000002,13871.233800000002
18,M,261.4174000000033,17.9943375,12023.656037499992
19,A,23.4098,0.003,30.81988749999999
19,C,32.07670000000001,0.012537500000000002,360.10356250000035
19,E,41.2272,0.002075,8352.142137499999
19,M,28.198,0.118275,93.0403
19,S,23.5,0.012,70.9265
20,A,21.3852,0.0005,34.85816249999988
20,C,24.4678,0.0005,101.70315
20,E,20.800400000000003,0.0005,31.62927499999994
20,M,87.92620000000001,0.0025,119.30852499999997
20,S,22.4685,0.0005,29.8185
21,A,0.424,0.0005,13.243
21,C,0.7256999999999999,0.0005,20.118449999999985
21,E,1.2327000000000006,0.0005,17.893024999999998
21,M,3.472500000000004,0.0005,14.628512499999964
21,S,0.33050000000000124,0.0005,17.584012499999986
22,A,17.618,0.2305,270.1485
22,C,99.3873,0.24433750000000007,106.890275
22,M,106.6466,0.6847500000000002,109.3996625
23,A,17.4309,0.0005,23.812399999999986
23,C,18.387200000000018,0.0005,32.529162500000005
23,E,18.916300000000003,0.0005,24.27735
23,M,19.5535,0.002,86.842
23,S,20.899800000000003,0.0005,24.3244125
24,A,17.335500000000007,0.0005,24.87830000000001
24,C,8.585900000000008,0.0005,87.34658749999996
24,E,6.2700000000000005,0.0005,24.2439375
24,M,15.481200000000003,0.001,100.30189999999996
24,S,17.853800000000007,0.0005,29.040549999999996
25,A,42.49960000000001,6.960775,234.41262499999993
25,C,63.2791,1.7442,77.782975
25,E,26.572100000000002,9.318500000000002,95.9154750000001
26,A,26.1374,2.0171125,40.3459624999999
26,C,27.449,0.0045,42.5
26,E,26.215,0.003,36.7338125
26,M,20.9234,0.0871,28.475212499999998
26,S,53.044699999999985,0.14032499999999998,583.6771999999999
27,A,27.9197,0.0165,80.99332499999977
27,C,23.4245,0.0015,49.313562499999996
27,E,28.968400000000003,0.001,95.59011249999996
27,M,23.170600000000004,0.04445000000000001,90.45436249999999
27,S,29.419,0.010562500000000002,80.81499999999998
28,A,25.0041,0.0005,29.762562499999998
28,C,11.602699999999999,0.0005,21.356937499999997
28,E,7.0533,0.0005,23.559587499999996
28,M,10.608400000000001,0.0006500000000000004,60.59047499999977
28,S,10.809,0.0005,19.434
29,A,0.04,0.0005,174.99419999999935
29,C,0.0965,0.0005,11.334850000000023
29,E,0.0185,0.0005,0.3445
