iter	MultiClass
0	1.327285157
1	1.144939432
2	1.012893213
3	0.906803642
4	0.8225373159
5	0.7529490279
6	0.6941719043
7	0.6436267711
8	0.6003047427
9	0.5631227178
10	0.5299410019
11	0.501509641
12	0.4764382039
13	0.4537957025
14	0.4330287175
15	0.4157561577
16	0.3995110059
17	0.3855893663
18	0.3729180251
19	0.3612288837
20	0.3509299355
21	0.3417778283
22	0.3333866659
23	0.3259623699
24	0.3191183607
25	0.3125101606
26	0.3072359953
27	0.3015008069
28	0.2961564078
29	0.2913254776
30	0.2873311641
31	0.2837793811
32	0.2800980987
33	0.2770518403
34	0.273821145
35	0.2710396515
36	0.268432572
37	0.2662075381
38	0.2639886673
39	0.261687452
40	0.2599792223
41	0.2577724113
42	0.2563278286
43	0.2543311467
44	0.2526485471
45	0.2509589227
46	0.2497832846
47	0.2483824317
48	0.2471861376
49	0.2455398675
50	0.2443677149
51	0.2430072889
52	0.2414940267
53	0.2401965503
54	0.2393962698
55	0.2381111578
56	0.2375562898
57	0.2366485979
58	0.2356774595
59	0.2347446871
60	0.2338049855
61	0.233165185
62	0.2326871943
63	0.2313478534
64	0.2303691422
65	0.2296335336
66	0.2289564563
67	0.2281810319
68	0.2276555067
69	0.2270705205
70	0.2265446151
71	0.2258379602
72	0.2250400598
73	0.2242188188
74	0.2235760641
75	0.2227240125
76	0.2221617542
77	0.2215414508
78	0.2209510054
79	0.2204642653
80	0.2200152251
81	0.2195687423
82	0.2189761823
83	0.2185723497
84	0.2180250729
85	0.217820444
86	0.2171469834
87	0.2168139349
88	0.2161554218
89	0.2155267252
90	0.2151042579
91	0.2145366981
92	0.2141153751
93	0.2138053944
94	0.2133012382
95	0.2129689268
96	0.2122414532
97	0.2119823837
98	0.2117911728
99	0.2113789759
100	0.2107731236
101	0.2102267109
102	0.2098928377
103	0.2094128688
104	0.2088834719
105	0.2085385097
106	0.2080317093
107	0.2075282872
108	0.2070511815
109	0.2065767208
110	0.2060763837
111	0.2055949882
112	0.2051572416
113	0.2047054993
114	0.2042890999
115	0.2040341863
116	0.2035791829
117	0.2030216791
118	0.2025065464
119	0.2020859393
120	0.2016760262
121	0.2013270271
122	0.200840903
123	0.2002335267
124	0.1997750202
125	0.1992812343
126	0.1990733839
127	0.1985785128
128	0.1980636262
129	0.1976135197
130	0.196989731
131	0.1964613342
132	0.1958910358
133	0.1953343673
134	0.1950139332
135	0.194671336
136	0.1942035752
137	0.1939785489
138	0.1935857691
139	0.1931056201
140	0.1927243403
141	0.1922202887
142	0.1916928666
143	0.1912211052
144	0.1909293494
145	0.1902770101
146	0.190013773
147	0.1894674001
148	0.1888973683
149	0.1884430091
150	0.1880929008
151	0.1877635534
152	0.1874494698
153	0.1869794502
154	0.1866456561
155	0.1862795701
156	0.18582385
157	0.1852639237
158	0.184882865
159	0.1844413878
160	0.1840448549
161	0.1836309229
162	0.1832318499
163	0.1826842636
164	0.182318958
165	0.1818916567
166	0.18142381
167	0.1810226501
168	0.1807572796
169	0.1804569066
170	0.1801379695
171	0.179742185
172	0.17945468
173	0.1791238229
174	0.1787998492
175	0.1784142641
176	0.178097026
177	0.1776091879
178	0.1772841306
179	0.1769149795
180	0.1765813128
181	0.1762181875
182	0.1759510766
183	0.1756891409
184	0.1752595302
185	0.174928754
186	0.1745434595
187	0.17426278
188	0.1739294752
189	0.1735560155
190	0.173326536
191	0.1730322425
192	0.1726802034
193	0.1721832163
194	0.1716918442
195	0.1713084841
196	0.1708961779
197	0.1705706562
198	0.1702538377
199	0.170053112
200	0.169648364
201	0.1692110262
202	0.1688384904
203	0.1685021513
204	0.1682587592
205	0.1680200219
206	0.1675359201
207	0.1671535756
208	0.1667711865
209	0.1663801182
210	0.1660988475
211	0.1657164755
212	0.1654704659
213	0.1650820264
214	0.1647253604
215	0.1643814093
216	0.1641717436
217	0.1638151574
218	0.1634832312
219	0.1633782276
220	0.1631866031
221	0.1628815474
222	0.1625679821
223	0.1623167286
224	0.1619265907
225	0.1617209877
226	0.161423418
227	0.1611793595
228	0.1608963644
229	0.1606984145
230	0.1603282339
231	0.1600376893
232	0.1596603388
233	0.1594923654
234	0.1593219179
235	0.1588870833
236	0.1586088626
237	0.1583750206
238	0.1580934555
239	0.1578064449
240	0.1575971375
241	0.1573000734
242	0.1569806128
243	0.1566497911
244	0.1562373815
245	0.1559684557
246	0.1557670675
247	0.1554137447
248	0.1550350419
249	0.1548387911
250	0.1545730311
251	0.1543439025
252	0.1540794581
253	0.1537062711
254	0.1534399942
255	0.153091061
256	0.1528043347
257	0.1525974387
258	0.1523050095
259	0.1520153342
260	0.1517728835
261	0.1514253747
262	0.1510277606
263	0.150736302
264	0.1504475608
265	0.1501294428
266	0.1498204525
267	0.1496528625
268	0.1493639254
269	0.1491182558
270	0.1489081135
271	0.1486813459
272	0.1485560719
273	0.1482631416
274	0.1480017396
275	0.1477711131
276	0.1475031308
277	0.147351588
278	0.1470886517
279	0.1468345639
280	0.1467052532
281	0.1465339582
282	0.1462906718
283	0.1461146808
284	0.1459194072
285	0.1456797554
286	0.1455467098
287	0.1452422841
288	0.1449641495
289	0.1446324349
290	0.1444558108
291	0.1441776203
292	0.1439788459
293	0.1437397575
294	0.143527044
295	0.1432382973
296	0.1429809353
297	0.1427799628
298	0.1425475179
299	0.1423085047
